,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Toy Story 4 (2019),1.0,97%,Toy Story 4 (2019),453,G,"Fantasy, Animation, Kids & family, Adventure, Comedy",English,Josh Cooley,"Mark Nielsen, Jonas Rivera, Galyn Susman","Andrew Stanton, Stephany Folsom","Jun 21, 2019 wide","Oct 1, 2019",$434.0M,1h 40m,Walt Disney,"DTS, Dolby Digital, Dolby Atmos",Scope (2.35:1),Pixar
Spider-Man: Into the Spider-Verse (2018),2.0,97%,Spider-Man: Into the Spider-Verse (2018),393,PG (Mild Language|Frenetic Action Violence|Thematic Elements),"Fantasy, Animation, Action, Kids & family, Adventure, Comedy",English,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Avi Arad, Amy Pascal, Phil Lord, Chris Miller, Christina Steinberg","Phil Lord, Rodney Rothman","Dec 14, 2018 wide","Mar 19, 2019",$190.2M,1h 57m,"Sony Pictures Entertainment, Columbia Pictures","Dolby Atmos, DTS, Dolby Digital, SDDS",Scope (2.35:1),
Inside Out (2015),3.0,98%,Inside Out (2015),379,PG (Some Action|Mild Thematic Elements),"Kids & family, Comedy, Fantasy, Animation",English,Pete Docter,Jonas Rivera,"Pete Docter, Meg LeFauve, Josh Cooley","Jun 19, 2015 wide","Nov 3, 2015",$2.0M,1h 35m,Walt Disney,"Dolby Atmos, Datasat",,Pixar
Coco (2017),4.0,97%,Coco (2017),354,PG (Thematic Elements),"Adventure, Comedy, Animation, Music",English,Lee Unkrich,Darla K. Anderson,"Adrian Molina, Matthew Aldrich","Nov 22, 2017 wide","Feb 13, 2018",$210.5M,1h 49m,Walt Disney,Dolby Atmos,Scope (2.35:1),Pixar
Snow White and the Seven Dwarfs (1937),5.0,98%,Snow White and the Seven Dwarfs (1937),54,G,"Kids & family, Fantasy, Animation",English,David Hand,Walt Disney,"Ted Sears, Richard Creedon, Otto Englander, Dick Rickard, Earl Hurd, Merrill De Maris, Webb Smith",,"Nov 16, 2004",,1h 20m,,Stereo,,
Soul (2020),6.0,95%,Soul (2020),344,PG (Thematic Elements|Some Language),"Kids & family, Adventure, Comedy, Animation",English,Pete Docter,Dana Leigh Murray,"Pete Docter, Mike Jones, Kemp Powers",,"Dec 25, 2020",,1h 40m,,Dolby Atmos,Scope (2.35:1),Pixar
Incredibles 2 (2018),7.0,93%,Incredibles 2 (2018),387,PG (Some Brief Mild Language|Action Sequences),"Animation, Action, Kids & family, Adventure, Comedy",English,Brad Bird,"John Walker, Nicole Paradis Grindle",Brad Bird,"Jun 15, 2018 wide","Nov 6, 2018",$608.6M,1h 58m,Walt Disney,"DTS, Dolby Digital, Dolby Atmos",Scope (2.35:1),Pixar
Zootopia (2016),8.0,98%,Zootopia (2016),298,PG (Rude Humor|Action|Some Thematic Elements),"Kids & family, Adventure, Comedy, Animation",English,"Byron Howard, Rich Moore",Clark Spencer,"Jared Bush, Phil Johnston","Mar 4, 2016 wide","Jun 7, 2016",,1h 48m,Walt Disney,Dolby Atmos,,
Paddington 2 (2018),9.0,99%,Paddington 2 (2018),247,PG (Some Action|Mild Rude Humor),"Kids & family, Adventure, Comedy",English (United Kingdom),Paul King,David Heyman,"Paul King, Simon Farnaby","Jan 12, 2018 wide","Apr 24, 2018",$38.4M,1h 43m,Warner Bros. Pictures,Dolby Atmos,Scope (2.35:1),
Up (2009),10.0,98%,Up (2009),298,PG (Some Peril|Action),"Kids & family, Adventure, Comedy, Animation",English,"Pete Docter, Bob Peterson",Jonas Rivera,"Bob Peterson, Pete Docter","May 29, 2009 wide","Nov 10, 2009",,1h 29m,"Walt Disney, Pixar Animation Studios",,,Pixar
Toy Story 3 (2010),11.0,98%,Toy Story 3 (2010),309,G,"Fantasy, Animation, Kids & family, Adventure, Comedy",English,Lee Unkrich,Darla K. Anderson,Michael Arndt,"Jun 18, 2010 wide","Nov 2, 2010",$415.0M,1h 42m,Walt Disney,"SDDS, Dolby Digital, DTS",,Pixar
Toy Story 2 (1999),12.0,100%,Toy Story 2 (1999),170,G,"Fantasy, Animation, Kids & family, Adventure, Comedy",English,"Ash Brannon, John Lasseter, Lee Unkrich","Karen Robert Jackson, Helene Plotkin","John Lasseter, Pete Docter, Ash Brannon, Andrew Stanton, Andrew Stanton, Rita Hsiao, Doug Chamberlain, Chris Webb","Nov 24, 1999 wide","Mar 23, 2010",$245.9M,1h 32m,Walt Disney Pictures,"Dolby SR, Dolby Stereo, Surround, SDDS, DTS, Dolby EX, Dolby Digital","Digital Projection, Flat (1.85:1)",Pixar
Finding Dory (2016),13.0,94%,Finding Dory (2016),338,PG (Mild Thematic Elements),"Kids & family, Adventure, Comedy, Animation",English,Andrew Stanton,Lindsey Collins,"Andrew Stanton, Victoria Strouse","Jun 17, 2016 wide","Nov 15, 2016",$486.2M,1h 43m,Walt Disney,"Dolby Atmos, Datasat, DTS, Dolby Digital, SDDS",Flat (1.85:1),Pixar
Finding Nemo (2003),14.0,99%,Finding Nemo (2003),269,G,"Kids & family, Adventure, Comedy, Animation",English,Andrew Stanton,Graham Walters,"Andrew Stanton, Andrew Stanton, Bob Peterson, David Reynolds","May 30, 2003 wide","Nov 4, 2003",,1h 40m,Walt Disney Pictures,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Flat (1.85:1),Pixar
Pinocchio (1940),15.0,100%,Pinocchio (1940),56,G,"Kids & family, Fantasy, Animation",English,"Ben Sharpsteen, Hamilton Luske",Walt Disney,,"Feb 9, 1940 wide","Dec 3, 2002",$18.7M,1h 27m,Walt Disney Pictures,"Surround, Stereo, Mono",,
The LEGO Movie (2014),16.0,96%,The LEGO Movie (2014),253,PG (Rude Humor|Mild Action),"Kids & family, Adventure, Comedy, Animation",English,"Phil Lord, Chris Miller","Dan Lin, Roy Lee","Phil Lord, Chris Miller","Feb 7, 2014 wide","Jun 17, 2014",$257.8M,1h 35m,Warner Bros. Pictures,,,
Moana (2016),17.0,95%,Moana (2016),283,PG (Peril|Brief Thematic Elements|Some Scary Images),"Animation, Comedy, Kids & family, Adventure, Musical",English,"John Musker, Ron Clements",Osnat Shurer,Jared Bush,"Nov 23, 2016 wide","Mar 7, 2017",$248.8M,1h 53m,Walt Disney,"Dolby Atmos, Dolby Digital, SDDS, Datasat",Scope (2.35:1),
Toy Story (1995),18.0,100%,Toy Story (1995),92,G,"Fantasy, Animation, Kids & family, Adventure, Comedy",English,John Lasseter,"Ralph Guggenheim, Bonnie Arnold","John Lasseter, Pete Docter, Joe Ranft, Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow","Nov 22, 1995 original","Mar 23, 2010",$31.3M,1h 20m,"Warner Home Vídeo, Buena Vista Pictures",,,Pixar
Isle of Dogs (2018),19.0,90%,Isle of Dogs (2018),367,PG-13 (Thematic Elements|Some Violent Images),"Adventure, Comedy, Animation",English,Wes Anderson,"Wes Anderson, Scott Rudin, Steven Rales, Jeremy Dawson",Wes Anderson,"Apr 6, 2018 wide","Jul 17, 2018",$31.9M,1h 41m,Fox Searchlight,Dolby Digital,Scope (2.35:1),
