,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Won't You Be My Neighbor? (2018),1.0,97%,Won't You Be My Neighbor? (2018),255,PG-13 (Some Thematic Elements|Language),Documentary,English,Morgan Neville,"Caryn Capotosto, Nicholas Ma",,"Jun 29, 2018 wide","Sep 4, 2018",$22.6M,1h 34m,Focus Features,,,
I Am Not Your Negro (2017),2.0,99%,I Am Not Your Negro (2017),210,PG-13 (Disturbing Violent Images|Brief Nudity|Language|Thematic Material),Documentary,English,Raoul Peck,"Rémi Grellety, Raoul Peck, Hébert Peck",James Baldwin,"Feb 3, 2017 limited","May 2, 2017",$7.1M,1h 35m,"Magnolia Pictures, Amazon Studios",,,
Apollo 11 (2019),3.0,99%,Apollo 11 (2019),186,G,"Drama, History, Documentary",English,Todd Douglas Miller,"Todd Douglas Miller, Thomas Petersen, Evan Krauss",,"Mar 8, 2019 wide","May 14, 2019",$9.0M,1h 33m,"CNN Films, Neon",Dolby Digital,,
"Summer of Soul (...Or, When the Revolution Could Not Be Televised) (2021)",4.0,99%,"Summer of Soul (...Or, When the Revolution Could Not Be Televised) (2021)",208,PG-13 (Smoking|Brief Drug Material|Some Disturbing Images),"Documentary, Music",English,"Ahmir ""Questlove"" Thompson","David Dinerstein, Robert Fyvolent, Joseph Patel",,"Jul 2, 2021 wide","Jul 2, 2021",$2.3M,1h 57m,Searchlight Pictures,"Dolby Digital, Stereo",,
Life Itself (2014),5.0,98%,Life Itself (2014),203,R (Language|Brief Sexual Images/Nudity),Documentary,English,Steve James,"Zak Piper, Steve James, Garrett Basch",,"Jul 4, 2014 limited","Feb 17, 2015",$809.7K,2h 0m,Magnolia Pictures,,,
Man on Wire (2008),6.0,100%,Man on Wire (2008),159,PG-13 (Some Sexuality|Some Nudity|Drug References),Documentary,English,James Marsh,Simon Chinn,,"Jul 25, 2008 limited","Dec 9, 2008",$3.0M,1h 30m,Magnolia Pictures,,,
Amazing Grace (2019),7.0,99%,Amazing Grace (2019),160,G,"Documentary, Music",English,Alan Elliott,"Joe Boyd, Alan Elliott, Aretha Franklin, Rob Johnson, Chiemi Karasawa, Sabrina V. Owens, Jerry Wexler, Tirrell D. Whittley, Joseph Woolf",,"Nov 23, 2018 limited","Aug 6, 2019",$4.5M,1h 27m,,,,
Minding the Gap (2018),8.0,100%,Minding the Gap (2018),123,,Documentary,English,Bing Liu,"Bing Liu, Diane Moy Quon",,"Aug 17, 2018 limited","Aug 17, 2018",,1h 33m,Hulu,,,
"Faces Places (Visages, villages) (2017)",9.0,99%,"Faces Places (Visages, villages) (2017)",142,PG (Thematic Elements|Brief Nude Images),Documentary,French (France),"Agnès Varda, JR",Rosalie Varda,,"Oct 6, 2017 limited","Feb 27, 2018",$952.7K,1h 29m,Cohen Media Group,,Flat (1.85:1),
Collective (Colectiv) (2020),10.0,99%,Collective (Colectiv) (2020),130,,Documentary,Romanian,Alexander Nanau,"Hanka Kastelicová, Bernard Michaux, Alexander Nanau, Bianca Oana","Alexander Nanau, Antoaneta Opris","Nov 20, 2020 limited","Nov 20, 2020",,1h 49m,Magnolia Pictures,,Flat (1.85:1),
McQueen (2018),11.0,99%,McQueen (2018),126,R (Language and Nudity),Documentary,English (United Kingdom),"Ian Bonhôte, Peter Ettedgui","Ian Bonhôte, Andee Ryder, Nick Taussig, Paul Van Carter",Peter Ettedgui,"Jul 20, 2018 limited","Sep 25, 2018",$1.3M,1h 51m,Bleecker Street Media,,,
Crip Camp: A Disability Revolution (2020),12.0,100%,Crip Camp: A Disability Revolution (2020),100,R (Sexual References|Some Language),Documentary,English,"James Lebrecht, Nicole Newnham","James Lebrecht, Sara Bolder, Nicole Newnham","James Lebrecht, Nicole Newnham",,"Mar 26, 2020",,1h 47m,,,,
20 Feet From Stardom (2013),13.0,99%,20 Feet From Stardom (2013),128,PG-13 (Some Strong Language|Sexual Material),Documentary,English,Morgan Neville,"Gil Friesen, Caitrin Rogers, Morgan Neville",,"Jun 14, 2013 limited","Jan 14, 2014",$4.9M,1h 30m,Radius TWC,,,
Weiner (2016),14.0,97%,Weiner (2016),177,R (Some Sexual Material|Language),Documentary,English,"Josh Kriegman, Elyse Steinberg","Josh Kriegman, Elyse Steinberg","Josh Kriegman, Elyse Steinberg, Eli B. Despres","May 20, 2016 limited","Aug 23, 2016",$1.7M,1h 36m,IFC Films,,,
Three Identical Strangers (2018),15.0,96%,Three Identical Strangers (2018),186,PG-13 (Some Mature Thematic Material),"History, Documentary, Drama, Mystery & thriller, Biography",English,Tim Wardle,"Grace Hughes-Hallett, Becky Read",Grace Hughes-Hallett,"Jun 29, 2018 limited","Oct 2, 2018",$12.3M,1h 36m,"CNN Films, Neon",,Flat (1.85:1),
Amy (2015),16.0,95%,Amy (2015),225,R (Language|Drug Material),"Biography, Documentary, Music",English,Asif Kapadia,James Gay-Rees,,"Jul 3, 2015 limited","Nov 10, 2015",$8.4M,2h 8m,A24,,Flat (1.85:1),
Dick Johnson Is Dead (2020),17.0,100%,Dick Johnson Is Dead (2020),91,PG-13 (Macabre Images|Thematic Elements),Documentary,English,Kirsten Johnson,"Katy Chevigny, Marilyn Ness","Kirsten Johnson, Nels Bangerter",,"Oct 2, 2020",,1h 29m,,,,
Free Solo (2018),18.0,97%,Free Solo (2018),157,PG-13 (Brief Strong Language),Documentary,English,"Elizabeth Chai Vasarhelyi, Jimmy Chin","Elizabeth Chai Vasarhelyi, Jimmy Chin, Evan Hayes, Shannon Dill",,"Sep 28, 2018 limited","Feb 12, 2019",$17.5M,1h 40m,National Geographic Documentary Films,,,
MLK/FBI (2021),19.0,99%,MLK/FBI (2021),124,,Documentary,English,Samuel D. Pollard,Benjamin Hedin,"Benjamin Hedin, Laura Tomaselli","Jan 15, 2021 limited","Jan 15, 2021",$44.9K,1h 42m,IFC Films,,,
Kedi (2017),20.0,98%,Kedi (2017),130,,Documentary,Turkish,Ceyda Torun,"Ceyda Torun, Charlie Wuppermann",,"Feb 10, 2017 limited","Nov 12, 2017",$2.8M,1h 20m,Oscilloscope Laboratories,,,
The Last Waltz (1978),21.0,98%,The Last Waltz (1978),50,PG,Documentary,English,Martin Scorsese,Robbie Robertson,,"Dec 31, 1978 wide","May 7, 2002",$322.0K,1h 57m,United Artists,"Surround, Dolby Stereo",Flat (1.85:1),
