,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Citizen Kane (1941),1.0,99%,Citizen Kane (1941),121,PG,Drama,English,Orson Welles,Orson Welles,"Herman J. Mankiewicz, Orson Welles, John Houseman","May 1, 1941 wide","Feb 23, 2010",$977.3K,1h 59m,RKO Radio Pictures,Mono,Academy (1.33:1),
Black Panther (2018),2.0,96%,Black Panther (2018),525,PG-13 (Sequences of Action Violence|A Brief Rude Gesture),"Fantasy, Adventure, Action",English,Ryan Coogler,Kevin Feige,"Ryan Coogler, Joe Robert Cole","Feb 16, 2018 wide","May 2, 2018",$700.2M,2h 14m,Walt Disney,"DTS, Dolby Atmos",Scope (2.35:1),Marvel Cinematic Universe
Parasite (Gisaengchung) (2019),3.0,98%,Parasite (Gisaengchung) (2019),464,R (Sexual Content|Language|Some Violence),"Drama, Mystery & thriller, Comedy",Korean,Bong Joon Ho,"Kwak Sin-ae, Moon Yanggwon","Bong Joon Ho, Han Jinwon","Nov 1, 2019 wide","Oct 11, 2019",$53.4M,2h 12m,Neon,"Dolby Atmos, Dolby Digital",Scope (2.35:1),
Avengers: Endgame (2019),4.0,94%,Avengers: Endgame (2019),547,PG-13 (Sequences of Sci-Fi Violence|Action|Some Language),"Fantasy, Adventure, Sci-fi, Action",English,"Anthony Russo, Joe Russo",Kevin Feige,"Christopher Markus, Stephen McFeely","Apr 26, 2019 wide","Jul 30, 2019",$858.4M,3h 1m,Walt Disney,"Dolby Atmos, DTS, Dolby Digital, SDDS",Scope (2.35:1),Marvel Cinematic Universe
Casablanca (1942),5.0,99%,Casablanca (1942),124,PG,Drama,English,Michael Curtiz,Hal B. Wallis,"Murray Burnett, Joan Alison, Julius J. Epstein, Philip G. Epstein, Howard Koch","Jan 23, 1943 wide","Nov 17, 1998",,1h 42m,Warner Bros. Pictures,Mono,Flat (1.37:1),
Knives Out (2019),6.0,97%,Knives Out (2019),468,PG-13 (Drug Material|Brief Violence|Sexual References|Some Strong Language|Thematic Elements),"Drama, Mystery & thriller, Comedy, Crime",English,Rian Johnson,"Rian Johnson, Ram Bergman, Jonathan Golfman, Brye Adler",Rian Johnson,"Nov 27, 2019 wide","Jun 12, 2020",$165.4M,2h 10m,Lionsgate Films,Dolby,Flat (1.85:1),
Lady Bird (2017),7.0,99%,Lady Bird (2017),398,R (Language|Brief Graphic Nudity|Sexual Content|Teen Partying),"Drama, Comedy",English,Greta Gerwig,"Scott Rudin, Eli Bush, Evelyn O'Neill",Greta Gerwig,"Nov 22, 2017 wide","Mar 6, 2018",$48.9M,1h 34m,A24,Dolby Digital,Flat (1.85:1),
Mission: Impossible - Fallout (2018),8.0,97%,Mission: Impossible - Fallout (2018),437,PG-13 (Intense Sequences of Action|Brief Strong Language|Violence),"Mystery & thriller, Adventure, Action",English,Christopher McQuarrie,"Tom Cruise, Christopher McQuarrie, Jake Myers, J.J. Abrams",Christopher McQuarrie,"Jul 27, 2018 wide","Oct 23, 2018",$220.1M,2h 27m,Paramount Pictures,"DTS, Dolby Atmos, Dolby Digital",Scope (2.35:1),
BlacKkKlansman (2018),9.0,96%,BlacKkKlansman (2018),447,R (Language Throughout|Disturbing/Violent Material|Racial Epithets|Some Sexual References),"Drama, Comedy, Crime",English,Spike Lee,"Sean McKittrick, Raymond Mansfield, Jason Blum, Jordan Peele, Spike Lee, Shaun Redick","Charlie Wachtel, David Rabinowitz, Kevin Willmott, Spike Lee","Aug 10, 2018 wide","Nov 6, 2018",$48.6M,2h 14m,Focus Features,Dolby Atmos,Scope (2.35:1),
The Irishman (2019),10.0,95%,The Irishman (2019),456,R (Strong Violence|Pervasive Language),"Drama, Crime",English,Martin Scorsese,"Martin Scorsese, Robert De Niro, Jane Rosenthal, Gastón Pavlovich, Randall Emmett, Emma Tillinger Koskoff, Gerald Chamales, Irwin Winkler, Troy Allen",Steven Zaillian,"Nov 1, 2019 limited","Nov 27, 2019",,3h 29m,Netflix,Dolby Atmos,Flat (1.85:1),
The Godfather (1972),11.0,97%,The Godfather (1972),134,R,"Drama, Crime",English,Francis Ford Coppola,Albert S. Ruddy,"Francis Ford Coppola, Mario Puzo, Mario Puzo","Mar 15, 1972 wide","May 11, 2004",$134.8M,2h 57m,Paramount Pictures,Mono,Flat (1.85:1),
Moonlight (2016),12.0,98%,Moonlight (2016),393,R (Drug Use|Brief Violence|Language Throughout|Some Sexuality),"Drama, Lgbtq+",English,Barry Jenkins,"Adele Romanski, Dede Gardner, Jeremy Kleiner",Barry Jenkins,"Nov 18, 2016 wide","Feb 28, 2017",$27.9M,1h 51m,A24,Dolby Digital,Scope (2.35:1),
Sunset Boulevard (1950),13.0,98%,Sunset Boulevard (1950),110,,Drama,English,Billy Wilder,Charles Brackett,"Charles Brackett, D.M. Marshman Jr., Billy Wilder","Aug 10, 1950 wide","Nov 11, 2008",,1h 50m,Paramount Pictures,,Flat (1.37:1),
All About Eve (1950),14.0,99%,All About Eve (1950),103,,Drama,English,Joseph L. Mankiewicz,Darryl F. Zanuck,Joseph L. Mankiewicz,"Oct 13, 1950 original","Feb 5, 2004",$10.2K,2h 18m,"20th Century Fox, Fox",Mono,Flat (1.37:1),
Roma (2018),15.0,96%,Roma (2018),404,R (Language|Graphic Nudity|Some Disturbing Images),Drama,Spanish,Alfonso Cuarón,"Alfonso Cuarón, Gabriela Rodriguez, Nicolás Celis",Alfonso Cuarón,"Nov 21, 2018 limited","Dec 15, 2018",,2h 15m,Netflix,Dolby Atmos,Scope (2.35:1),
Wonder Woman (2017),16.0,93%,Wonder Woman (2017),472,PG-13 (Sequences of Violence|Action|Some Suggestive Content),"Fantasy, Adventure, Action",English,Patty Jenkins,"Charles Roven, Deborah Snyder, Zack Snyder, Richard Suckle",Allan Heinberg,"Jun 2, 2017 wide","Sep 26, 2017",$412.8M,2h 21m,Warner Bros. Pictures,"SDDS, Dolby Atmos, DTS",Scope (2.35:1),DC Extended Universe
A Star Is Born (2018),17.0,90%,A Star Is Born (2018),528,R (Some Sexuality/Nudity|Language Throughout|Substance Abuse),"Drama, Music, Romance",English,Bradley Cooper,"Bill Gerber, Jon Peters, Bradley Cooper, Todd Phillips, Lynette Howell Taylor","Eric Roth, Bradley Cooper, Will Fetters","Oct 5, 2018 wide","Feb 19, 2019",$215.3M,2h 15m,Warner Bros. Pictures,"DTS, SDDS, Dolby Atmos",Scope (2.35:1),
A Quiet Place (2018),18.0,96%,A Quiet Place (2018),387,PG-13 (Terror and Some Bloody Images),"Mystery & thriller, Horror",English,John Krasinski,"Michael Bay, Andrew Form, Brad Fuller","Bryan Woods, Scott Beck, John Krasinski","Apr 6, 2018 wide","Jul 10, 2018",$68.4M,1h 30m,Paramount Pictures,"Dolby Atmos, Dolby Digital, DTS, SDDS",Scope (2.35:1),
One Night in Miami (2020),19.0,98%,One Night in Miami (2020),335,R (Language Throughout),Drama,English,Regina King,"Jessica Calder, Keith Calder, Jody Klein",Kemp Powers,"Dec 25, 2020 limited","Jan 15, 2021",,1h 50m,Amazon Studios,,Scope (2.35:1),
Rebecca (1940),20.0,100%,Rebecca (1940),95,,Mystery & thriller,English,Alfred Hitchcock,David O. Selznick,"Daphne Du Maurier, Philip MacDonald, Michael Hogan, Robert E. Sherwood, Joan Harrison, Barbara Keon","Apr 12, 1940 wide","Oct 14, 2008",,2h 10m,United Artists,Mono,Flat (1.37:1),
Logan (2017),21.0,94%,Logan (2017),424,R (Language Throughout|Brief Nudity|Strong Brutal Violence),"Fantasy, Adventure, Action",English,James Mangold,"Hutch Parker, Simon Kinberg, Lauren Shuler Donner","James Mangold, Michael Green, Scott Frank","Mar 3, 2017 wide","Jun 20, 2017",$226.3M,2h 17m,20th Century Fox,Dolby Atmos,Scope (2.35:1),X-Men
His Girl Friday (1940),22.0,99%,His Girl Friday (1940),100,,Comedy,English,Howard Hawks,Howard Hawks,"Ben Hecht, Charles MacArthur, Charles Lederer","Jan 11, 1940 original","Nov 21, 2000",,1h 32m,Columbia Pictures,Mono,35mm,
