,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Citizen Kane (1941),1.0,99%,Citizen Kane (1941),121,PG,Drama,English,Orson Welles,Orson Welles,"Herman J. Mankiewicz, Orson Welles, John Houseman","May 1, 1941 wide","Feb 23, 2010",$977.3K,1h 59m,RKO Radio Pictures,Mono,Academy (1.33:1),
Knives Out (2019),2.0,97%,Knives Out (2019),468,PG-13 (Drug Material|Brief Violence|Sexual References|Some Strong Language|Thematic Elements),"Drama, Mystery & thriller, Comedy, Crime",English,Rian Johnson,"Rian Johnson, Ram Bergman, Jonathan Golfman, Brye Adler",Rian Johnson,"Nov 27, 2019 wide","Jun 12, 2020",$165.4M,2h 10m,Lionsgate Films,Dolby,Flat (1.85:1),
Us (2019),3.0,93%,Us (2019),553,R (Violence/Terror|Language),"Mystery & thriller, Horror",English,Jordan Peele,"Jordan Peele, Sean McKittrick, Jason Blum, Ian Cooper",Jordan Peele,"Mar 22, 2019 wide","Jun 4, 2019",$175.0M,1h 56m,Universal Pictures,"Dolby Atmos, DTS",Scope (2.35:1),
Mission: Impossible - Fallout (2018),4.0,97%,Mission: Impossible - Fallout (2018),437,PG-13 (Intense Sequences of Action|Brief Strong Language|Violence),"Mystery & thriller, Adventure, Action",English,Christopher McQuarrie,"Tom Cruise, Christopher McQuarrie, Jake Myers, J.J. Abrams",Christopher McQuarrie,"Jul 27, 2018 wide","Oct 23, 2018",$220.1M,2h 27m,Paramount Pictures,"DTS, Dolby Atmos, Dolby Digital",Scope (2.35:1),
Get Out (2017),5.0,98%,Get Out (2017),398,R (Language|Bloody Images|Sexual References|Violence),"Mystery & thriller, Comedy, Horror",English,Jordan Peele,"Sean McKittrick, Jason Blum, Ted Hamm, Jordan Peele",Jordan Peele,"Feb 24, 2017 wide","May 23, 2017",$176.0M,1h 44m,Universal Pictures,"Dolby Digital, DTS, SDDS",Scope (2.35:1),
The Irishman (2019),6.0,95%,The Irishman (2019),456,R (Strong Violence|Pervasive Language),"Drama, Crime",English,Martin Scorsese,"Martin Scorsese, Robert De Niro, Jane Rosenthal, Gastón Pavlovich, Randall Emmett, Emma Tillinger Koskoff, Gerald Chamales, Irwin Winkler, Troy Allen",Steven Zaillian,"Nov 1, 2019 limited","Nov 27, 2019",,3h 29m,Netflix,Dolby Atmos,Flat (1.85:1),
The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),7.0,99%,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),68,,"Fantasy, Mystery & thriller, Horror",German,Robert Wiene,"Rudolf Meinert, Erich Pommer","Hans Janowitz, Carl Mayer","Mar 19, 1921 wide","Feb 16, 1999",,1h 9m,"Grapevine Video, Kino Video",,,
A Quiet Place (2018),8.0,96%,A Quiet Place (2018),387,PG-13 (Terror and Some Bloody Images),"Mystery & thriller, Horror",English,John Krasinski,"Michael Bay, Andrew Form, Brad Fuller","Bryan Woods, Scott Beck, John Krasinski","Apr 6, 2018 wide","Jul 10, 2018",$68.4M,1h 30m,Paramount Pictures,"Dolby Atmos, Dolby Digital, DTS, SDDS",Scope (2.35:1),
Rebecca (1940),9.0,100%,Rebecca (1940),95,,Mystery & thriller,English,Alfred Hitchcock,David O. Selznick,"Daphne Du Maurier, Philip MacDonald, Michael Hogan, Robert E. Sherwood, Joan Harrison, Barbara Keon","Apr 12, 1940 wide","Oct 14, 2008",,2h 10m,United Artists,Mono,Flat (1.37:1),
Spotlight (2015),10.0,97%,Spotlight (2015),376,R (Some Language|Sexual References),Drama,English,Tom McCarthy,"Michael Sugar, Steve Golin, Nicole Rocklin, Blye Pagon Faust","Josh Singer, Tom McCarthy","Nov 20, 2015 wide","Feb 23, 2016",$45.0M,2h 8m,Open Road,,,
The Third Man (1949),11.0,99%,The Third Man (1949),86,,Mystery & thriller,English,Carol Reed,"Alexander Korda, Carol Reed, David O. Selznick","Graham Greene, Alexander Korda, Graham Greene","Feb 1, 1949 wide","Oct 28, 2008",$447.0K,1h 44m,"Vintage Video, Selznick International Pictures, Spiegel Media GmbH, Continental Home Vídeo [br], British Lion Films Ltd., Warner Home Vídeo",Mono,Flat (1.37:1),
Rear Window (1954),12.0,98%,Rear Window (1954),122,PG,Mystery & thriller,English,Alfred Hitchcock,Alfred Hitchcock,"John Michael Hayes, Cornell Woolrich","Sep 1, 1954 wide","Sep 7, 2004",$1.6M,1h 52m,Paramount Pictures,,Flat (1.37:1),
Arrival (2016),13.0,94%,Arrival (2016),435,PG-13 (Brief Strong Language),"Drama, Mystery & thriller, Sci-fi",English,Denis Villeneuve,"Shawn Levy, Dan Levine, Aaron Ryder, David Linde",Eric Heisserer,"Nov 11, 2016 wide","Feb 14, 2017",$100.5M,1h 56m,Paramount Pictures,Dolby Digital,,
The Maltese Falcon (1941),14.0,100%,The Maltese Falcon (1941),64,,"Drama, Crime",English,John Huston,,"Dashiell Hammett, John Huston","Oct 18, 1941 wide","Sep 1, 2009",,1h 40m,Warner Bros. Pictures,Mono,,
