,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
It Happened One Night (1934),1.0,99%,It Happened One Night (1934),98,,"Comedy, Romance",English,Frank Capra,"Frank Capra, Harry Cohn","Samuel Hopkins Adams, Robert Riskin","Feb 22, 1934 original","Dec 28, 1999",,1h 45m,"Columbia Pictures, Columbia TriStar Home Video, RCA/Columbia",Mono,"35mm, Flat (1.37:1)",
Casablanca (1942),2.0,99%,Casablanca (1942),124,PG,Drama,English,Michael Curtiz,Hal B. Wallis,"Murray Burnett, Joan Alison, Julius J. Epstein, Philip G. Epstein, Howard Koch","Jan 23, 1943 wide","Nov 17, 1998",,1h 42m,Warner Bros. Pictures,Mono,Flat (1.37:1),
The Philadelphia Story (1940),3.0,100%,The Philadelphia Story (1940),102,,"Comedy, Romance",English,George Cukor,Joseph L. Mankiewicz,"Philip Barry, Donald Ogden Stewart, Waldo Salt","Dec 1, 1940 original","May 16, 2000",,1h 52m,Metro-Goldwyn-Mayer,Mono,,
A Night at the Opera (1935),4.0,97%,A Night at the Opera (1935),70,,Comedy,English,Sam Wood,,,"Nov 15, 1935 original","May 4, 2004",,1h 33m,Metro-Goldwyn-Mayer,,,
The Shape of Water (2017),5.0,92%,The Shape of Water (2017),460,R (Language|Graphic Nudity|Sexual Content|Violence),"Fantasy, Romance",English,Guillermo del Toro,"Guillermo del Toro, J. Miles Dale","Guillermo del Toro, Vanessa Taylor","Dec 22, 2017 wide","Mar 13, 2018",$63.3M,2h 3m,Fox Searchlight,,Flat (1.85:1),
Singin' in the Rain (1952),6.0,100%,Singin' in the Rain (1952),67,G,"Musical, Comedy",English,"Stanley Donen, Gene Kelly",Arthur Freed,"Betty Comden, Adolph Green","Apr 10, 1952 wide","Sep 24, 2002",$23.9K,1h 42m,Metro-Goldwyn-Mayer,Mono,Flat (1.37:1),
The Big Sick (2017),7.0,98%,The Big Sick (2017),305,R (Some Sexual References|Language),"Comedy, Romance",English,Michael Showalter,"Judd Apatow, Barry Mendel","Emily V. Gordon, Kumail Nanjiani","Jul 14, 2017 wide","Sep 19, 2017",$42.9M,2h 0m,"Lionsgate Films, Amazon Studios",Dolby Digital,Flat (1.85:1),
On the Waterfront (1954),8.0,99%,On the Waterfront (1954),107,,Drama,English,Elia Kazan,Sam Spiegel,"Budd Schulberg, Budd Schulberg","Jul 28, 1954 original","Oct 23, 2001",,1h 48m,Columbia Pictures,Mono,35mm,
An American in Paris (1951),9.0,96%,An American in Paris (1951),94,,"Musical, Romance",English,Vincente Minnelli,Arthur Freed,Alan Jay Lerner,"Nov 9, 1951 wide","Dec 2, 2004",,1h 53m,Metro-Goldwyn-Mayer,Mono,Flat (1.37:1),
The Best Years of Our Lives (1946),10.0,98%,The Best Years of Our Lives (1946),91,,Drama,English,William Wyler,Samuel Goldwyn,"MacKinlay Kantor, Robert E. Sherwood","Nov 21, 1946 wide","Jul 18, 2000",,2h 52m,RKO Radio Pictures,Mono,Flat (1.37:1),
The Adventures of Robin Hood (1938),11.0,100%,The Adventures of Robin Hood (1938),48,PG,"Adventure, Action",English,"Michael Curtiz, William Keighley",Hal B. Wallis,"Norman Reilly Raine, Seton I. Miller","Feb 11, 1938 wide","Sep 30, 2003",,1h 42m,Warner Bros. Pictures,Mono,Flat (1.37:1),
Call Me by Your Name (2018),12.0,94%,Call Me by Your Name (2018),363,R (Sexual Content|Nudity|Some Language),"Drama, Lgbtq+, Romance",English,Luca Guadagnino,"Peter Spears, Luca Guadagnino, Emilie Georges, Rodrigo Teixeira, Marco Morabito","James Ivory, Luca Guadagnino, Walter Fasano","Jan 19, 2018 wide","Mar 13, 2018",$18.0M,2h 12m,Sony Pictures Classics,Dolby Digital,Flat (1.85:1),
Top Hat (1935),13.0,100%,Top Hat (1935),42,,"Musical, Romance",English,Mark Sandrich,Pandro S. Berman,"Aladar Laszlo, Károly Nóti, Allan Scott, Dwight Taylor","Sep 6, 1935 wide","Aug 16, 2005",,1h 39m,RKO Radio Pictures,Mono,Flat (1.37:1),
Marty (1955),14.0,99%,Marty (1955),70,,Drama,English,Delbert Mann,Harold Hecht,"Paddy Chayefsky, Paddy Chayefsky","May 21, 1955 wide","Oct 5, 2010",,1h 31m,United Artists,Mono,Flat (1.37:1),
The Lady Eve (1941),15.0,100%,The Lady Eve (1941),48,,"Comedy, Romance",English,Preston Sturges,Paul Jones,"Monckton Hoffe, Preston Sturges","Feb 25, 1941 original","Oct 16, 2001",,1h 37m,"Criterion Collection, Paramount Pictures",Mono,"35mm, Flat (1.37:1)",
Vertigo (1958),16.0,94%,Vertigo (1958),84,PG,Mystery & thriller,English,Alfred Hitchcock,Alfred Hitchcock,"Pierre Boileau, Thomas Narcejac, Samuel A. Taylor, Alec Coppel","May 9, 1958 wide","Jan 25, 2001",$1.8M,2h 8m,Paramount Pictures,,Flat (1.85:1),
Carol (2015),17.0,94%,Carol (2015),314,R (Nudity|Brief Language|Scene of Sexuality),"Drama, Lgbtq+, Romance",English,Todd Haynes,"Elizabeth Karlsen, Stephen Woolley, Christine Vachon",Phyllis Nagy,"Jan 8, 2016 wide","Mar 15, 2016",$12.7M,1h 58m,Weinstein Co.,,,
The Red Shoes (1948),18.0,97%,The Red Shoes (1948),62,,"Drama, Romance",English (United Kingdom),"Michael Powell, Emeric Pressburger","Michael Powell, Emeric Pressburger","Hans Christian Andersen, Michael Powell, Emeric Pressburger, Keith Winter, Marius Goring","Sep 6, 1948 original","Mar 1, 2001",,2h 13m,"Criterion Collection, MCA/Universal Pictures [us]",Mono,,
Before Midnight (2013),19.0,98%,Before Midnight (2013),206,R (Sexual Content/Nudity|Language),"Drama, Romance",English,Richard Linklater,"Richard Linklater, Christos V. Konstantakopoulos, Sara Woodhatch","Richard Linklater, Julie Delpy, Ethan Hawke","May 24, 2013 limited","Oct 22, 2013",$8.1M,1h 49m,Sony Pictures Classics,,,
The Lost Weekend (1945),20.0,97%,The Lost Weekend (1945),62,,Drama,English,Billy Wilder,Charles Brackett,"Charles R. Jackson, Charles Brackett, Billy Wilder","Nov 16, 1945 wide","Feb 1, 2005",,1h 41m,Paramount Pictures,Mono,Flat (1.37:1),
The Artist (2011),21.0,95%,The Artist (2011),322,PG-13 (A Disturbing Image|A Crude Gesture),"Drama, Comedy, Romance",,Michel Hazanavicius,Thomas Langmann,Michel Hazanavicius,"Nov 23, 2011 limited","Apr 24, 2012",$44.7M,1h 40m,Weinstein Co.,,,
The Umbrellas of Cherbourg (Les Parapluies de Cherbourg) (1964),22.0,99%,The Umbrellas of Cherbourg (Les Parapluies de Cherbourg) (1964),67,,"Musical, Romance",French (France),Jacques Demy,Mag Bodard,"Jacques Demy, Jacques Demy","Feb 19, 1964 original","Apr 6, 2004",$18.4K,1h 31m,"Wellspring Media, Zeitgeist Films, Criterion Collection",Dolby Stereo,"16mm, Flat (1.85:1)",
West Side Story (1961),23.0,93%,West Side Story (1961),113,,Musical,English,"Jerome Robbins, Robert Wise",Robert Wise,"Jerome Robbins, Arthur Laurents, Ernest Lehman","Oct 18, 1961 wide","Aug 1, 2006",,2h 31m,United Artists,"Stereo, Magnetic Stereo 6 Track",70mm,
Her (2013),24.0,94%,Her (2013),283,R (Language|Brief Graphic Nudity|Sexual Content),"Drama, Comedy, Romance",English,Spike Jonze,"Megan Ellison, Spike Jonze, Vincent Landay",Spike Jonze,"Jan 10, 2014 wide","May 13, 2014",$25.6M,1h 59m,Warner Bros. Pictures,,,
Ash Is Purest White (2019),25.0,99%,Ash Is Purest White (2019),154,,"Drama, Romance",Chinese,ZhangKe Jia,Shozo Ichiyama,ZhangKe Jia,"Mar 15, 2019 limited","Jul 16, 2019",$416.0K,2h 21m,Cohen Media Group,,Flat (1.85:1),
Roman Holiday (1953),26.0,97%,Roman Holiday (1953),60,,"Comedy, Romance",English,William Wyler,William Wyler,"Dalton Trumbo, Ian McLellan Hunter, John Dighton","Aug 27, 1953 original","Nov 26, 2002",,1h 59m,Paramount Pictures,Mono,,
Beauty and The Beast (La Belle et la bête) (1946),27.0,96%,Beauty and The Beast (La Belle et la bête) (1946),67,,Fantasy,French (Canada),Jean Cocteau,,"Jean Cocteau, Jeanne-Marie Leprince de Beaumont, Jean Cocteau","Jan 1, 1947 wide","Feb 11, 2003",$138.2K,1h 35m,,Mono,Flat (1.37:1),
Bringing Up Baby (1938),28.0,94%,Bringing Up Baby (1938),51,,Comedy,English,Howard Hawks,Howard Hawks,"Hagar Wilde, Dudley Nichols, Hagar Wilde","Feb 18, 1938 wide","Mar 1, 2005",,1h 42m,RKO Radio Pictures,Mono,,
The Princess Bride (1987),29.0,98%,The Princess Bride (1987),80,PG,"Kids & family, Adventure, Comedy",English,Rob Reiner,"Rob Reiner, Andrew Scheinman",William Goldman,"Oct 1, 1987 wide","Jul 18, 2000",$26.9M,1h 38m,20th Century Fox,"Surround, Dolby Stereo",Flat (1.85:1),
Annie Hall (1977),30.0,96%,Annie Hall (1977),84,PG,"Comedy, Romance",English,Woody Allen,"Charles H. Joffe, Jack Rollins","Woody Allen, Marshall Brickman","Jan 1, 1977 wide","Jul 5, 2000",,1h 33m,United Artists,Mono,Flat (1.85:1),
In a Lonely Place (1950),31.0,98%,In a Lonely Place (1950),47,,Drama,English,Nicholas Ray,Robert Lord,"Dorothy B. Hughes, Edmund H. North, Andrew Solt","May 17, 1950 wide","Mar 18, 2003",,1h 31m,Columbia Pictures,Mono,"Flat (1.37:1), 35mm",
Only Yesterday (1991),32.0,100%,Only Yesterday (1991),58,,"Drama, Anime",Japanese,Isao Takahata,Yasuyoshi Tokuma,"Isao Takahata, David Freedman","Jan 1, 2016 limited","Jul 5, 2016",,1h 58m,GKIDS,,,
Gentlemen Prefer Blondes (1953),33.0,98%,Gentlemen Prefer Blondes (1953),45,,"Musical, Comedy",English,Howard Hawks,Sol C. Siegel,"Joseph Fields, Anita Loos, Charles Lederer","Jul 18, 1953 wide","May 30, 2006",,1h 31m,20th Century Fox,Mono,,
Sideways (2004),34.0,97%,Sideways (2004),233,R (Nudity|Language|Some Strong Sexual Content),"Drama, Comedy",English,Alexander Payne,"Michael London, George Parra","Rex Pickett, Alexander Payne","Oct 22, 2004 original","Apr 5, 2005",$71.5M,2h 6m,Fox,"Surround, Dolby SRD",Flat (1.37:1),
Groundhog Day (1993),35.0,97%,Groundhog Day (1993),86,PG (Thematic Elements),"Comedy, Romance",English,Harold Ramis,"Trevor Albert, Harold Ramis","Danny Rubin, Danny Rubin, Harold Ramis","Feb 12, 1993 wide","Jan 17, 2006",$162.6K,1h 36m,Columbia Pictures,"Dolby, Surround",Flat (1.85:1),
Sunrise: A Song of Two Humans (1927),36.0,98%,Sunrise: A Song of Two Humans (1927),62,,"Drama, Romance",English,F.W. Murnau,William Fox,"Hermann Sudermann, Carl Mayer, Katherine Hilliker, H.H. Caldwell","Sep 23, 1927 wide","Oct 12, 2004",,1h 50m,"Critics' Choice Video, Fox",Mono,,
Mrs. Miniver (1942),37.0,95%,Mrs. Miniver (1942),60,,Drama,English,William Wyler,"Sidney Franklin, William Wyler","George Froeschel, James Hilton, Jan Struther, Claudine West, Arthur Wimperis","Jun 4, 1942 wide","Feb 3, 2004",,2h 14m,Metro-Goldwyn-Mayer,Mono,Flat (1.37:1),
City Lights (1931),38.0,96%,City Lights (1931),55,G,"Drama, Comedy, Romance",,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,"Jan 30, 1931 original","Feb 23, 2010",$18.2K,1h 27m,United Artists,,35mm,
Miracle on 34th Street (1947),39.0,96%,Miracle on 34th Street (1947),48,,"Drama, Comedy, Other",English,George Seaton,William Perlberg,George Seaton,"May 2, 1947 original","Oct 5, 1999",,1h 36m,20th Century Fox,,,
Gone With the Wind (1939),40.0,90%,Gone With the Wind (1939),102,G,"Drama, History, Romance",English,Victor Fleming,David O. Selznick,Sidney Howard,"Dec 15, 1939 wide","Nov 17, 2009",$198.7M,3h 42m,Metro-Goldwyn-Mayer,"Surround, Mono",Flat (1.37:1),
