,names,dates,scores,reviews
0,Ret1r10n,"May 13, 2022",0,Matchmaking in competitive mode is not very great and skill gap is literally obvious around matches. need matchmaking system or just drop the game you can literally have more great time to waste on other things
1,Shadow-Slayer,"May  5, 2022",9,"Good, some people are toxic, and it is fun lots to explore, characters, maps, game modes it is fun.."
2,Masturbinho69,"May  5, 2022",0,"only one **** point because if you have frineds to play it should be fun or if you playing gun game no cd. But as player since 2018 I can say: THE WORST MOBA GAME EVEN LEAGUE OF LEGNEDS ON RANKED MATCHES WAS MORE FUNNY. Blizzard is the worst company.
1. Toxic community as Chernobyl. Wow they should get prize for the most toxic game ever made even LoL is less toxic than this trash. I readonly one **** point because if you have frineds to play it should be fun or if you playing gun game no cd. But as player since 2018 I can say: THE WORST MOBA GAME EVEN LEAGUE OF LEGNEDS ON RANKED MATCHES WAS MORE FUNNY. Blizzard is the worst company.
1. Toxic community as Chernobyl. Wow they should get prize for the most toxic game ever made even LoL is less toxic than this trash. I read too mutch on chat something like "" I **** your mom ""
""kill yourself"" in **** also I made so mutch reports and ONLY 2 was sucessfull.
2. We should get overwatch 2 beta and what we got? middle finger! we must wait for twitch drops from other streamers.
3. unbalanced heroes. Are you trying to play as your main hero? no just no **** way! they can't make good nerfs now brigitte is useless and genji is still overpowered.
4. the worst matchmaking I have smurf account on 25lvl and I getting 500lvl enemies what the ****?
5. and so mutch more problems...
If you want to play only vs AI buy it if not DON'T BUY IT!… Expand"
3,2I2l1a,"May  1, 2022",6,"Overwatch is a highly stylized team-based shooter set on earth in the near future. Every match is an intense multiplayer showdown pitting a diverse cast of soldiers, mercenaries, scientists, adventurers, and oddities against each other in an epic, globe-spanning conflict."
4,Olimoray,"Apr 30, 2022",7,One of the better multiplayer games out there. Overwatch is a consistently fun shooter which hasn't gotten old even years down the line. 3.5/5
5,Cassadina,"Apr 30, 2022",2,Overwatch was left for dead by blizzard for two years just to rerelease the game with few changes in Overwatch 2. It's not worth buying at all
6,Kostas_Spirou,"Apr 28, 2022",9,"This game looks spectacular for its time, it was a fresh take on the Online Multiplayer First Person Shooter genre, and groundbreaking.

Unfortunately I'm a little bit late to the party, so I missed most of the good things that came out from this game.

Is it fun? Undoubtedly one of the most enjoyable First Person Shooter games I've ever played!
The gameplay is fast paced, creativeThis game looks spectacular for its time, it was a fresh take on the Online Multiplayer First Person Shooter genre, and groundbreaking.

Unfortunately I'm a little bit late to the party, so I missed most of the good things that came out from this game.

Is it fun? Undoubtedly one of the most enjoyable First Person Shooter games I've ever played!
The gameplay is fast paced, creative and diverse, the character design is phenomenal, most of the heroes look fantastic, the maps look gorgeous, so many hidden details everywhere, overall I can safely say that this is an amazing game.

But what doesn't make it a perfect game is the horrible matchmaking, the lack of gamemodes and the atrocious balancing. It's a shame that the game got abandoned all of a sudden because fortunately its flaws can be fixed as times goes by.

It's still a very enjoyable experience, and I'm glad I didn't miss out on it, one of my favorite Online Multiplayer games for sure.

Final Rating: ""Amazing"" - 9/10.… Expand"
7,Izoeros,"Apr 26, 2022",8,qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq
8,BaldursThones,"Apr 14, 2022",8,I need overwatch 2. Where is overwatch 2? Blizzard come back please im sad.
9,asxasmaxas,"Apr  6, 2022",0,"**** game for **** by the worst company ever existed, which even can not repear its **** broken launcher."
10,Chezy,"Apr  2, 2022",0,"This game has been out for 6 years now, and it still has the same issues since its launch. Matchmaking is terrible, it's either your team gets stomped without a chance or vice versa. No fair battles, no close battles, if you're playing alone it's pretty much all depending on luck if you land in the good team or not. Smurfs are probably the biggest issue in this game, and Blizzard doesn'tThis game has been out for 6 years now, and it still has the same issues since its launch. Matchmaking is terrible, it's either your team gets stomped without a chance or vice versa. No fair battles, no close battles, if you're playing alone it's pretty much all depending on luck if you land in the good team or not. Smurfs are probably the biggest issue in this game, and Blizzard doesn't seem to care. They have been a major issue for the last 3 years and not a single step has been taken, probably cause Blizzard profits from people buying their game again. Don't get your hopes up too high for OW2 either, so far it looks like the problems will only get worse.… Expand"
11,janwe04,"Mar 28, 2022",0,"I have more then 1500h in this game and i can tell you, dont touch it! Wait for Overwatch 2. This Game is ruined."
12,isidore12,"Mar 23, 2022",2,"Blizzard does beautiful games, but also add competitively to the extreme, to the point of toxicity.
Overwatch is no exception, pleasant the first few hours, and toxic not long after.
If you value who you are, I will play a more respectful game to individuals."
13,Nepen1he,"Mar 10, 2022",0,"games out of politics, juegos fuera de la politica, jogos fora da política"
14,Afros,"Mar  6, 2022",1,Nazi block half of europe. I payed money for your games. Get back it . Good by blizzard .
15,skyanzhin,"Mar  5, 2022",0,"Геймеры оказались виноваты в том что происходит в мире. Жалкая попытка пиара. В следующий раз серьезно задумаюсь, нужна ли мне игра от таких разработчиков
#GameOutOfPolitics"
16,Zhek87,"Mar  5, 2022",0,"И как это купить в России, прогнулись знатно"
17,Logbia7k,"Mar  4, 2022",4,It's very unbalanced and becomes boring quickly. Although I have hundreds of hours in this game it feels like a chore to play nowadays. In the past it was just way more fun... I don't know why.
18,jojosiwa778,"Mar  2, 2022",0,**** game **** game **** game **** game **** game **** gme **** game **** game **** game **** game shiiit
19,Fittedgosling54,"Feb 26, 2022",10,This is my favorite game of all time. The lore is great but the multi-player is what you wanna focus on since there is no story mode. The game is great and the gun and sword and power play feels great. The characters are absolutely amazing and inclusive. 10/10 play this alot to this day
20,ALKWSZYZ,"Feb 26, 2022",8,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
21,Uarabei,"Feb 21, 2022",6,"It's nice to play, and the characters seem to be colorful, but the gameplay gets boring and I couldn't play it for a long time.

But this is a session game and it should lure for a long time, but this did not happen to me."
22,molten,"Feb 16, 2022",4,"Probably on of the worst bullet registration ever,terrible matchmaking system-I have to wait 15 minutes to get players in the team whose ranks are much lower than mine.Broken POTG system.I hope Overwatch 2 will be better a lot than this."
23,MarsDell,"Feb 12, 2022",5,"competitive 0/10 worst thing ever, 1 you have to wait 10-15 minutes if you want to play dps 2 im 3500+ 5-12 seasons but now in 2500 sr and i can't do anything what's wrong with this game. And then your dps says yea im so bad and i don't want to switch, good game but now its trash
this game could be like WOW but instead of making it better they are renaming Mccre"
24,Motoritz,"Feb  5, 2022",8,"Easily some of the best shooters I've ever played, but I don't really enjoy the genre in general. Fun gameplay, ok variety of modes, great selection of characters."
25,SuperCurry30,"Feb  4, 2022",4,"- Overly used yearly events- No new character since March, 20th, 2020- Skill Rating Inflation * Season 21 3000 chining player can beat the crap out of Season 32 3300~3400 players- Really long matchmaking- Balacing team which doesn’t listen user’s complains"
26,Odal,"Jan 28, 2022",0,"It's one of the best Multiplayer shooters ever made I think. It's superfun and i've been playing it for years. I get tired of it, but I always go back to playing it.
But the game is ruined completely by it's completely rigged and bad matchmaking system. The matchmaking system forces you to lose, if you are doing too good. This is not only a theory - this happens everytime. If you got on aIt's one of the best Multiplayer shooters ever made I think. It's superfun and i've been playing it for years. I get tired of it, but I always go back to playing it.
But the game is ruined completely by it's completely rigged and bad matchmaking system. The matchmaking system forces you to lose, if you are doing too good. This is not only a theory - this happens everytime. If you got on a winstreak and play really good, let's say you get 9 wins and 1 loss the last 10 games - the matchmaking system will put you all of sudden with team-mates who are WAY below your level and your opposing teams level to make you lose.
This happens every single time. All of a sudden you get a Reinhardt who don't know how to position, and charges in before the team can group and dies. I'm usually around 2800-3100 range.

The counter argument i've seen is ""but duh, the proos.. the 0.00001% can climb, so it's not the system dude. Right.. that is correct the 0.0000.1 % of the best players can climb no matter what, cause even in a bad matchup they are so incredibly good it doesn't matter. They are worth those other 4 people who are much worse. But for a normal human - like me and many others - this system is making you lose on purpose and there is almost nothing you can do and that is superfrustrating.

I'm not sure why they do this, if it's to keep you in the game longer to buy boxes or whatever. But I recon it has some intent like that. It's really sad seing them having this anti-player system purposely.

The second bad thing is they allow duos and teams in Solo-queue, this is also ruining the game for people like me who mostly play solo. The better DUO always wins (because they have much better cordination) and if they don't they are usually toxic. So they force you to play with a hopeless game or toxic people.

The third bad thing with the game is that they never release anything new anymore. They are making an ""Overwatch 2"" which never comes out...  im not sure what they're thinking - but I again knowing ""Blizzard"" (which is really just a bunch of new employees calling themselves Blizzard, all the real devs have left pretty much), it's probably because of some greedy reason. They are probably figuring out a way to monetize the game even more.

Otherwise - awsome game. For the gameplay alone, the graphics, optimization etc, style. Everything like that is great. Sad it's ruined by this fact.… Expand"
