,names,dates,scores,reviews
0,Celli,"May 27, 2016",9,"Excellent game. Definitely gonna blow the dying TF2 out of the picture, honestly that game is becoming garbage nowadays.
Anyways, I played the beta and it was a blast. The 21 heroes are all unique and varied, they all have great abilities, and the lack of equippable weapons will make the game feel fair and balanced through the years.
Some of them feel a bit OP, but I'm sure Blizz willExcellent game. Definitely gonna blow the dying TF2 out of the picture, honestly that game is becoming garbage nowadays.
Anyways, I played the beta and it was a blast. The 21 heroes are all unique and varied, they all have great abilities, and the lack of equippable weapons will make the game feel fair and balanced through the years.
Some of them feel a bit OP, but I'm sure Blizz will balance the characters so everyone's on a level playing field.
There are currently 4 gamemodes, control points, payload, hybrid, and king of the hill. They're all fun and getting objectives done with teammates is fun.
The overall game design is also fantastic, the visuals are sort of cartoonish, but with a bit of realism mixed in, and it looks very good. The game is also well optimized on PC, which is honestly the best platform to play on, as I feel reaction time and being quick to counter an enemy is best done with a mouse and a controller joystick is rather clunky and less accurate for a shooter like this,.
The customizability options are really good, too, many sprays(not stickers), skins, voice clips, emotes, and victory poses are incredible.
However, the game is not perfect, and I have a couple complaints.
The PotG is not good at all, and focuses mostly on killstreaks, and forgoes plays by, for example, support pushing a team and overall being very helpful. They're there, but few and far between.
Also, the loot boxes are poorly done I find, Blizz is notorious for putting terrible RNG in their games, which is a total minus for me, loot is random, poorly, I might add. You'd be hard pressed to get little more than a boring spray most of the time. At least the loot boxes are only for customizability, and not for game changing additions like more powerful weapons or something. I just wish the customizability wasn't so hard to come by.
those nitpicks only knock the score to a 9/10, but this is still a great game, well worth the $40.
Also, I've seen some very poorly made reviews here. You don't give the game a 0 or 1 because you expected a single player when the game was MARKETED as a Multiplayer only shooter, not to mention most of Blizzard's games are online-only. Also, complaining about the game being only f2p, are you freaking nuts? Competitive is coming next month and Blizzard wanted it to be good enough for the players, and didn't want to delay the game, also more content will no doubt be added later on, so suck it up and stop complaining, your opinion deserves to be called out if it's made questionably. Also, I understand not liking the game, but giving the game 0s and 1s? Give me a break. Then again, Metacritic is full of people who don't have any idea what they're talking about and shouldn't make reviews at all, so yeah.… Expand"
1,Hellion,"May 27, 2016",4,Pass on this. Nothing new except maybe the art style of the game is pretty good. Should have been a free to play game with the option to pay for the skins. Needed a single player mini campaign or something to add some story for each character. Multiplayer matches are quick and for the most part fun but it's get pretty boring quickly.
2,nothingnew,"May 27, 2016",10,"it is a beautiful game with very interesting characters that have unique ways that you could play them there will be a ""hero"" for your play-style i found this game very enjoyable and i see overwatch lasting a while before people stop playing it"
3,GraffPirate,"May 27, 2016",8,"an extremely polished game. my only issue is the map sizes and design. too many bottle necks and small spaces for such a frenetic combat driven game. class systems seem bound to map layouts. Im having a lot of fun playing it we shall see how the meta game evolves. Also there is no taunting, Im sad about this."
4,VoidSoldier,"May 27, 2016",8,"Overwatch is the most fun I've had with a game in quite some time. That's a feat, because I have not had much fun with FPS games since the likes of Halo Reach and old TF2. It has it's cons but the pros outweigh them no question, as I will list now.

Pros:
- 21 heroes all with massively different play-styles, designs and personalities. More heroes are to be added.
-Fair amount of maps,Overwatch is the most fun I've had with a game in quite some time. That's a feat, because I have not had much fun with FPS games since the likes of Halo Reach and old TF2. It has it's cons but the pros outweigh them no question, as I will list now.

Pros:
- 21 heroes all with massively different play-styles, designs and personalities. More heroes are to be added.
-Fair amount of maps, all based on areas of the world in the future like London, Egypt, Siberian Russia, and Japan
-Maps are tailored to the game type making play fluid and coherent
-Payload, Capture the point and defend the point are all fun, some have both mixed in, like Numbani
-Metagame is ever evolving, making ""mastering"" the game an addictive and changing task
-Progression is addicting, no level cap, loot boxes unlocked each level, and several achievements to unlock keeps the game very re-playable and hard to stop when on a good run
-Skill ceiling is potentially quite high but also fun and intuitive for casuals
-Weekly brawl keeps you coming back for more. Can be absurdly fun.
-Objective based game-play means you can really feel like you are impacting on your teams success, and stops the game becoming an incoherent deathmatch.

There are some cons, however:

-So far only two game types- Payload and Capture point/ Defend and attack point, may limit the games long-term re-playability
-No single player campaign. This is not necessarily a bad thing but it is a bit disappointing considering the seemingly interesting lore to the game, and the vibrant characters. The animated shirts on YouTube are really amazing, however.
-High price for an online only shooter, but future heroes and maps will all be free, and the game is very polished. Cosmetics can be unlocked through earned loot boxes and currency, but also bough with real money.
-Lack of team communication can be frustrating, so a ready made team of friends will usually destroy a team of randomers
-Custom games can not be put into matchmaking. When joining a quickplay match, you have no choice over game type or map.

Also, when opening loot boxes, opening many that you have can be very fun and exiting, but if you open them one by one, the contents of the box can be disappointing. Skins, victory poses and highlight intros are blatantly more satisfying than sprays and emotes. But when you do get them it's even better. Each time you level up you get a loot box but leveling up gets much slower as you go, so the amount of loot boxes you will be earning will go down. Items in the store like skins and emotes are usually 75 credits, which is very little in this game, I assure you. Some cost more at 200, for epic items. Legendary items cost 1000 and I like this, because I don't want everybody to have every legendary skin, it takes the reward out of it.

So to sum up, this is a fun and flashy shooter that is fun and addictive in the short term, hard to stop playing in a night. Ranked is not in the game as of now but will be added. The metagame is always changing and mastering heroes is fun. Hero switching means countering heroes gives an element of strategy to the game. The game feels a bit empty right now but I'm in no doubt more maps and gamemodes will be added soon- and new heroes are going to shake up the metagame. A lack of campaign is sad since the lore is very interesting but I have no doubt many shorts and comics will be released- perhaps a movie! Blizzard did it with Warcraft so why not?

I recommend for players who like games like TF2, or even other FPS games like CS:GO. Even if you don't like FPS games this is fun enough that you may just enjoy it. Don't be seduced by the adverts, however, they completely mis-advertise the game, know that this is purely an online shooter. The game is also superior on the PC due to the fast nature of the game.

Final score of 8. Very fun and flashy, but may not be long lasting if many more maps and modes are added, and I hope it doesn't share the fate of games like Titanfall, but Blizzards loyal fanbase should prevent that happening, especially on PC.… Expand"
5,criticalenmity,"May 27, 2016",10,"Most fun in a shooter that I've had in a long while blizzard really out did themselves this time, It is the most fun playing with friends rather than alone though because it is really team based."
6,makar55,"May 27, 2016",6,"Here we go, I will note a few points:
Graphics: If you like Disney's movies - you will enjoy. Ok, done with design now move forward to quality and it's ""OK"" - no more.
Music: Very typical, especially on the locations.
Gameplay: game based as cooperative, but even so its enjoyable in solo. Now let me show why I cant say its the best part of the game. As very experienced shooter player  IHere we go, I will note a few points:
Graphics: If you like Disney's movies - you will enjoy. Ok, done with design now move forward to quality and it's ""OK"" - no more.
Music: Very typical, especially on the locations.
Gameplay: game based as cooperative, but even so its enjoyable in solo. Now let me show why I cant say its the best part of the game. As very experienced shooter player  I say this game sucks in shooter part, no good feeling from shooting or using skills, it's more like Dota or LoL in this way.
Characters: I think everybody can find something for himself, but ever latex in some places have not persuaded to don't stop playing.
Game mods: JUST 2 GAME MODS, ITS RIDICULOUS! It works in moba games because 100+ playable characters.
General impressions: if it was free to play I would play few more hours.… Expand"
7,killab1984,"May 27, 2016",10,"Wow dunno what to call it really other than original. Gonna be a great game for a long time. 10/10 all the dif ppl are dope in their own right, all in all just a really deep interesting game."
8,Doliko,"May 27, 2016",6,"In all honesty overwatch is a very good 20$ game or a phenomenal f2p game. But for a whole 60$ it's just plain ridiculous giving it 9s or 10s. Having an average of 92 on metacritic makes no sense at all and one can not help but suspect that blizzard is bribing these ''professional critics'', even destructoid one of my most respected gaming sites gave it a perfect 100%...they can't beIn all honesty overwatch is a very good 20$ game or a phenomenal f2p game. But for a whole 60$ it's just plain ridiculous giving it 9s or 10s. Having an average of 92 on metacritic makes no sense at all and one can not help but suspect that blizzard is bribing these ''professional critics'', even destructoid one of my most respected gaming sites gave it a perfect 100%...they can't be serious. I mean even for the casual gamer who only plays mobas, counter strike, or some free p2w mmo giving it a 10 is just too much.

Don't get me wrong. Overwatch is not a bad game. On the contrary, it can be quite enjoyable at first with its colorful graphics, tight gameplay and limited but quite balanced character rooster. Even more so if you play it with a couple of friends. But there are only so many things one can do in an online only (60$ no singleplayer...wtf?) game with very few stages and extremely limited game modes. I do believe that eventually you will get tired of the game's repetition but then again I might be underestimating the casual gamer. And what's up with those disgusting rng boxes? Ok so they might not be mandatory because they will only give you cosmetic upgrades but it's still like blizzard is begging for more of your money. First it was day one dlcs and microtransactions then season passes and now we get multiplayer only games like Battlefront, The Division (don't tell me about its singleplayer missions) and now Overwatch. I wouldn't even mind about all that but see, people are buying these games giving the greedy developers motivation to make more of the same since these are the games that sell the most.

It's all very sad. Not because these repetitive multiplayer games are overshadowing other worthwhile or even great singleplayer games that have been crafted with much care and love by their developers. Not even because these despicable exercises of greed are becoming a trend in α declining gaming industry. What saddens me the most is that most of these casual gamers will probably never bother giving a chance to all those wonderful games that already exist and will instead keep on with their lives as they have. But then again it might just be me that doesn't  get the point of multiplayer games like overwatch. There is one thing however that I think we call all agree upon. In a full priced game wouldn't it be nice to have the best of both worlds, both multiplayer and singleplayer, so that everyone can be happy? I say yes.… Expand"
9,ImHappy,"May 27, 2016",9,"Great Game TF2 improved
-great graphics, characters, maps (even simple), atmosphere and voice acting, free DLC program !

Negatives :
-few modes, no music during matches.

I ve had an amazing time playing this game, it's been a long time i didn't have this much fun. with friends or strangers , its a blast !

i have to say : blizzard brand name, I'm confident this game will beGreat Game TF2 improved
-great graphics, characters, maps (even simple), atmosphere and voice acting, free DLC program !

Negatives :
-few modes, no music during matches.

I ve had an amazing time playing this game, it's been a long time i didn't have this much fun. with friends or strangers , its a blast !

i have to say : blizzard brand name, I'm confident this game will be supported years to come, like diablo 2.… Expand"
