,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Parasite (Gisaengchung) (2019),1.0,98%,Parasite (Gisaengchung) (2019),464,R (Sexual Content|Language|Some Violence),"Drama, Mystery & thriller, Comedy",Korean,Bong Joon Ho,"Kwak Sin-ae, Moon Yanggwon","Bong Joon Ho, Han Jinwon","Nov 1, 2019 wide","Oct 11, 2019",$53.4M,2h 12m,Neon,"Dolby Atmos, Dolby Digital",Scope (2.35:1),
The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),2.0,99%,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),68,,"Fantasy, Mystery & thriller, Horror",German,Robert Wiene,"Rudolf Meinert, Erich Pommer","Hans Janowitz, Carl Mayer","Mar 19, 1921 wide","Feb 16, 1999",,1h 9m,"Grapevine Video, Kino Video",,,
Seven Samurai (Shichinin no Samurai) (1956),3.0,100%,Seven Samurai (Shichinin no Samurai) (1956),88,,Action,Japanese,Akira Kurosawa,Sojiro Motoki,"Shinobu Hashimoto, Akira Kurosawa, Hideo Oguni","Nov 19, 1956 wide","Sep 5, 2006",$271.7K,3h 28m,Columbia Pictures,Mono,Flat (1.37:1),
La Grande illusion (Grand Illusion) (1938),4.0,97%,La Grande illusion (Grand Illusion) (1938),68,,"Drama, War",French (Canada),Jean Renoir,"Albert Pinkovitch, Frank Rollmer",,"Sep 12, 1937 wide","Nov 23, 1999",$516.5K,1h 57m,"Home Vision Entertainment, Barr Entertainment",,,
Metropolis (1927),5.0,97%,Metropolis (1927),135,,"Drama, Sci-fi",German,Fritz Lang,Erich Pommer,"Fritz Lang, Thea von Harbou, Thea von Harbou","Mar 13, 1927 original","Mar 22, 2007",$1.2M,2h 3m,Paramount Pictures,"Dolby SR, Dolby Digital, Dolby A, Dolby Stereo",Flat (1.85:1),
"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",6.0,97%,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",69,,"Fantasy, Horror",German,F.W. Murnau,"Enrico Dieckmann, Albin Grau","Henrik Galeen, Bram Stoker","Mar 5, 1922 original","Jan 2, 2001",,1h 5m,"Image Entertainment Inc., Republic Pictures, Hollywood's Attic, GoodTimes Home Video [us], Sinister Cinema, Grapevine Video, Video Yesteryear, Reel Media International [us], BijouFlix Releasing, Kino Video",,"Academy (1.33:1), 35mm",
The Battle of Algiers (La Battaglia di Algeri) (1967),7.0,99%,The Battle of Algiers (La Battaglia di Algeri) (1967),89,,"Drama, History, War",Arabic,Gillo Pontecorvo,"Antonio Musu, Yacef Saadi",,"Sep 20, 1967 wide","Oct 19, 2004",$55.9K,2h 5m,"Rizzoli, Image Entertainment Inc., Rialto Pictures, Criterion Collection",Mono,,
Shoplifters (Manbiki kazoku) (2018),8.0,99%,Shoplifters (Manbiki kazoku) (2018),227,R (Some Sexual Content and Nudity),"Drama, Adventure, Crime",Japanese,Hirokazu Koreeda,"Kaoru Matsuzaki, Hijiri Taguchi",Hirokazu Koreeda,"Nov 23, 2018 limited","Feb 12, 2019",$3.3M,2h 1m,Magnolia Pictures,Dolby Digital,Flat (1.85:1),
M (1931),9.0,100%,M (1931),60,,"Drama, Mystery & thriller, Crime",German,Fritz Lang,Seymour Nebenzal,"Egon Jacobson, Fritz Lang","Apr 2, 1933 wide","Dec 14, 2004",$29.6K,1h 39m,Paramount Pictures,Mono,,
Battleship Potemkin (1925),10.0,100%,Battleship Potemkin (1925),49,,"Drama, Mystery & thriller, History",Russian,Sergei M. Eisenstein,Jacob Bliokh,"Nina Agadzhanova, Nikolay Aseev, Sergei M. Eisenstein, Sergei Tretyakov","Dec 5, 1926 original","Nov 4, 2003",$51.0K,1h 7m,"Amkino Corporation, Reel Media International [us], Grapevine Video, Image Entertainment Inc.",,Academy (1.33:1),
