,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
It Happened One Night (1934),1.0,99%,It Happened One Night (1934),98,,"Comedy, Romance",English,Frank Capra,"Frank Capra, Harry Cohn","Samuel Hopkins Adams, Robert Riskin","Feb 22, 1934 original","Dec 28, 1999",,1h 45m,"Columbia Pictures, Columbia TriStar Home Video, RCA/Columbia",Mono,"35mm, Flat (1.37:1)",
Citizen Kane (1941),2.0,99%,Citizen Kane (1941),121,PG,Drama,English,Orson Welles,Orson Welles,"Herman J. Mankiewicz, Orson Welles, John Houseman","May 1, 1941 wide","Feb 23, 2010",$977.3K,1h 59m,RKO Radio Pictures,Mono,Academy (1.33:1),
The Wizard of Oz (1939),3.0,98%,The Wizard of Oz (1939),160,G,"Fantasy, Musical",English,Victor Fleming,"Victor Fleming, Mervyn LeRoy","L. Frank Baum, Noel Langley, Florence Ryerson, Edgar Allan Woolf","Aug 25, 1939 wide","Aug 12, 2003",$5.5M,1h 41m,Metro-Goldwyn-Mayer,Mono,Flat (1.37:1),
Modern Times (1936),4.0,98%,Modern Times (1936),109,G,Comedy,English,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,"Feb 5, 1936 wide","Nov 16, 2010",$163.2K,1h 29m,United Artists,Mono,Flat (1.37:1),
Casablanca (1942),5.0,99%,Casablanca (1942),124,PG,Drama,English,Michael Curtiz,Hal B. Wallis,"Murray Burnett, Joan Alison, Julius J. Epstein, Philip G. Epstein, Howard Koch","Jan 23, 1943 wide","Nov 17, 1998",,1h 42m,Warner Bros. Pictures,Mono,Flat (1.37:1),
Sunset Boulevard (1950),6.0,98%,Sunset Boulevard (1950),110,,Drama,English,Billy Wilder,Charles Brackett,"Charles Brackett, D.M. Marshman Jr., Billy Wilder","Aug 10, 1950 wide","Nov 11, 2008",,1h 50m,Paramount Pictures,,Flat (1.37:1),
All About Eve (1950),7.0,99%,All About Eve (1950),103,,Drama,English,Joseph L. Mankiewicz,Darryl F. Zanuck,Joseph L. Mankiewicz,"Oct 13, 1950 original","Feb 5, 2004",$10.2K,2h 18m,"20th Century Fox, Fox",Mono,Flat (1.37:1),
The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),8.0,99%,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),68,,"Fantasy, Mystery & thriller, Horror",German,Robert Wiene,"Rudolf Meinert, Erich Pommer","Hans Janowitz, Carl Mayer","Mar 19, 1921 wide","Feb 16, 1999",,1h 9m,"Grapevine Video, Kino Video",,,
The Philadelphia Story (1940),9.0,100%,The Philadelphia Story (1940),102,,"Comedy, Romance",English,George Cukor,Joseph L. Mankiewicz,"Philip Barry, Donald Ogden Stewart, Waldo Salt","Dec 1, 1940 original","May 16, 2000",,1h 52m,Metro-Goldwyn-Mayer,Mono,,
Rebecca (1940),10.0,100%,Rebecca (1940),95,,Mystery & thriller,English,Alfred Hitchcock,David O. Selznick,"Daphne Du Maurier, Philip MacDonald, Michael Hogan, Robert E. Sherwood, Joan Harrison, Barbara Keon","Apr 12, 1940 wide","Oct 14, 2008",,2h 10m,United Artists,Mono,Flat (1.37:1),
