,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Us (2019),1.0,93%,Us (2019),553,R (Violence/Terror|Language),"Mystery & thriller, Horror",English,Jordan Peele,"Jordan Peele, Sean McKittrick, Jason Blum, Ian Cooper",Jordan Peele,"Mar 22, 2019 wide","Jun 4, 2019",$175.0M,1h 56m,Universal Pictures,"Dolby Atmos, DTS",Scope (2.35:1),
Get Out (2017),2.0,98%,Get Out (2017),398,R (Language|Bloody Images|Sexual References|Violence),"Mystery & thriller, Comedy, Horror",English,Jordan Peele,"Sean McKittrick, Jason Blum, Ted Hamm, Jordan Peele",Jordan Peele,"Feb 24, 2017 wide","May 23, 2017",$176.0M,1h 44m,Universal Pictures,"Dolby Digital, DTS, SDDS",Scope (2.35:1),
The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),3.0,99%,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),68,,"Fantasy, Mystery & thriller, Horror",German,Robert Wiene,"Rudolf Meinert, Erich Pommer","Hans Janowitz, Carl Mayer","Mar 19, 1921 wide","Feb 16, 1999",,1h 9m,"Grapevine Video, Kino Video",,,
A Quiet Place (2018),4.0,96%,A Quiet Place (2018),387,PG-13 (Terror and Some Bloody Images),"Mystery & thriller, Horror",English,John Krasinski,"Michael Bay, Andrew Form, Brad Fuller","Bryan Woods, Scott Beck, John Krasinski","Apr 6, 2018 wide","Jul 10, 2018",$68.4M,1h 30m,Paramount Pictures,"Dolby Atmos, Dolby Digital, DTS, SDDS",Scope (2.35:1),
The Invisible Man (2020),5.0,92%,The Invisible Man (2020),412,R (Some Strong Bloody Violence|Language),"Mystery & thriller, Horror",English,Leigh Whannell,"Jason Blum, Kylie Du Fresne",Leigh Whannell,"Feb 28, 2020 wide","Mar 20, 2020",$64.3M,2h 4m,Universal Pictures,Dolby Atmos,Scope (2.35:1),
"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",6.0,97%,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",69,,"Fantasy, Horror",German,F.W. Murnau,"Enrico Dieckmann, Albin Grau","Henrik Galeen, Bram Stoker","Mar 5, 1922 original","Jan 2, 2001",,1h 5m,"Image Entertainment Inc., Republic Pictures, Hollywood's Attic, GoodTimes Home Video [us], Sinister Cinema, Grapevine Video, Video Yesteryear, Reel Media International [us], BijouFlix Releasing, Kino Video",,"Academy (1.33:1), 35mm",
King Kong (1933),7.0,98%,King Kong (1933),66,,"Fantasy, Adventure",English,"Merian C. Cooper, Ernest B. Schoedsack","Merian C. Cooper, Ernest B. Schoedsack","James Ashmore Creelman, Ruth Rose","Mar 2, 1933 original","Nov 22, 2005",,1h 40m,RKO Radio Pictures,,,
Psycho (1960),8.0,96%,Psycho (1960),105,R,"Mystery & thriller, Horror",English,Alfred Hitchcock,Alfred Hitchcock,"Robert Bloch, Joseph Stefano","Jun 16, 1960 original","Oct 4, 2005",,1h 49m,Paramount Pictures,Mono,,
The Bride of Frankenstein (1935),9.0,98%,The Bride of Frankenstein (1935),47,,Horror,English,James Whale,Carl Laemmle Jr.,"William Hurlbut, John L. Balderston, Mary Shelley","Apr 22, 1935 wide","Aug 28, 2001",,1h 15m,"Realart Pictures Inc., Universal International Pictures, MCA/Universal Pictures [us], Universal Pictures, Film Classics Inc., Universal Home Entertainment",Mono,,
The Babadook (2014),10.0,98%,The Babadook (2014),242,,"Mystery & thriller, Horror",English (Australia),Jennifer Kent,"Kristina Ceyton, Kristian Moliere",Jennifer Kent,"Nov 28, 2014 limited","Apr 14, 2015",$933.1K,1h 33m,IFC Films,Dolby Digital,,
