,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
The Bride of Frankenstein (1935),1.0,98%,The Bride of Frankenstein (1935),47,,Horror,English,James Whale,Carl Laemmle Jr.,"William Hurlbut, John L. Balderston, Mary Shelley","Apr 22, 1935 wide","Aug 28, 2001",,1h 15m,"Realart Pictures Inc., Universal International Pictures, MCA/Universal Pictures [us], Universal Pictures, Film Classics Inc., Universal Home Entertainment",Mono,,
Frankenstein (1931),2.0,100%,Frankenstein (1931),52,,Horror,English,James Whale,Carl Laemmle Jr.,"Mary Shelley, Peggy Webling, John L. Balderston, Francis Edward Faragoh","Nov 21, 1931 wide","Aug 17, 1999",,1h 11m,"MCA/Universal Pictures [us], Universal Pictures, Screen Gems, Universal Home Entertainment, Realart Pictures Inc.",Mono,,
Life Itself (2014),3.0,98%,Life Itself (2014),203,R (Language|Brief Sexual Images/Nudity),Documentary,English,Steve James,"Zak Piper, Steve James, Garrett Basch",,"Jul 4, 2014 limited","Feb 17, 2015",$809.7K,2h 0m,Magnolia Pictures,,,
Man on Wire (2008),4.0,100%,Man on Wire (2008),159,PG-13 (Some Sexuality|Some Nudity|Drug References),Documentary,English,James Marsh,Simon Chinn,,"Jul 25, 2008 limited","Dec 9, 2008",$3.0M,1h 30m,Magnolia Pictures,,,
Her (2013),5.0,94%,Her (2013),283,R (Language|Brief Graphic Nudity|Sexual Content),"Drama, Comedy, Romance",English,Spike Jonze,"Megan Ellison, Spike Jonze, Vincent Landay",Spike Jonze,"Jan 10, 2014 wide","May 13, 2014",$25.6M,1h 59m,Warner Bros. Pictures,,,
The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972),6.0,98%,The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972),53,PG,Comedy,French (Canada),Luis Buñuel,Serge Silberman,"Luis Buñuel, Jean-Claude Carrière","Sep 15, 1972 original","Oct 28, 2008",$198.8K,1h 40m,"Applause Video, Media Home Entertainment, Rialto Pictures, 20th Century Fox, Criterion Collection",Mono,,
Groundhog Day (1993),7.0,97%,Groundhog Day (1993),86,PG (Thematic Elements),"Comedy, Romance",English,Harold Ramis,"Trevor Albert, Harold Ramis","Danny Rubin, Danny Rubin, Harold Ramis","Feb 12, 1993 wide","Jan 17, 2006",$162.6K,1h 36m,Columbia Pictures,"Dolby, Surround",Flat (1.85:1),
Amy (2015),8.0,95%,Amy (2015),225,R (Language|Drug Material),"Biography, Documentary, Music",English,Asif Kapadia,James Gay-Rees,,"Jul 3, 2015 limited","Nov 10, 2015",$8.4M,2h 8m,A24,,Flat (1.85:1),
Miracle on 34th Street (1947),9.0,96%,Miracle on 34th Street (1947),48,,"Drama, Comedy, Other",English,George Seaton,William Perlberg,George Seaton,"May 2, 1947 original","Oct 5, 1999",,1h 36m,20th Century Fox,,,
Blackfish (2013),10.0,98%,Blackfish (2013),131,PG-13 (Mature Thematic Elements|Disturbing Violent Images),Documentary,English,Gabriela Cowperthwaite,"Gabriela Cowperthwaite, Manuel Oteyza","Gabriela Cowperthwaite, Eli B. Despres, Tim Zimmerman","Jul 19, 2013 limited","Nov 12, 2013",$2.1M,1h 23m,Magnolia Pictures,,,
Taxi to the Dark Side (2007),11.0,100%,Taxi to the Dark Side (2007),93,R (Graphic Nudity|Disturbing Images|Content Involving Torture),"Drama, Documentary, Crime, War",English,Alex Gibney,"Eva Orner, Susannah Shipman, Alex Gibney",Alex Gibney,"Jan 18, 2008 limited","Sep 30, 2008",$274.7K,1h 46m,ThinkFilm,,,
The Decline of Western Civilization (1981),12.0,100%,The Decline of Western Civilization (1981),40,,Documentary,English,Penelope Spheeris,Penelope Spheeris,Penelope Spheeris,,"Jun 30, 2015",,1h 40m,,,,
Murderball (2005),13.0,98%,Murderball (2005),141,R (Sexual Content|Language),Documentary,English,"Henry Alex Rubin, Dana Adam Shapiro",Dana Adam Shapiro,,"Jul 8, 2005 original","Nov 29, 2005",$1.5M,1h 25m,ThinkFilm,,,
Jodorowsky's Dune (2014),14.0,98%,Jodorowsky's Dune (2014),121,PG-13 (Violent and Sexual Images|Drug References),Documentary,English,Frank Pavich,"Frank Pavich, Stephen Scarlata, Travis Stevens",,"Mar 21, 2014 limited","Jul 8, 2014",$646.5K,1h 28m,Sony Pictures Classics,,,
Inside Job (2010),15.0,98%,Inside Job (2010),148,PG-13 (Some Sex-Related Material|Some Drug Material),Documentary,English,Charles Ferguson,"Charles Ferguson, Audrey Marrs",Charles Ferguson,"Oct 8, 2010 limited","Mar 8, 2011",$4.3M,1h 48m,Sony Pictures Classics,,,
The Square (Al Midan) (2013),16.0,100%,The Square (Al Midan) (2013),69,,Documentary,Arabic,Jehane Noujaim,Karim Amer,,"Oct 25, 2013 limited","Dec 8, 2015",,1h 44m,Noujaim Films,,,
Jiro Dreams of Sushi (2012),17.0,99%,Jiro Dreams of Sushi (2012),95,PG (Mild Thematic Elements|Brief Smoking),Documentary,Japanese,David Gelb,"Matt Weaver, Tom Pelligrini",,"Mar 9, 2012 limited","Jul 24, 2012",$2.6M,1h 21m,Magnolia Pictures,,,
Paris Is Burning (1991),18.0,98%,Paris Is Burning (1991),57,R,"Lgbtq+, Documentary",English,Jennie Livingston,"Jennie Livingston, Barry Swimar",,"Mar 13, 1990 original","Sep 6, 2005",$122.8K,1h 18m,,,,
Waltz with Bashir (2008),19.0,96%,Waltz with Bashir (2008),153,R (Dist. Images of Atrocities|Brief Nudity|Graphic Sexual Violence|Strong Violence),"Documentary, Animation",Hebrew,Ari Folman,"Ari Folman, Serge Lalou, Gerhard Meixner, Roman Paul",Ari Folman,"Dec 25, 2008 limited","Jun 23, 2009",$2.3M,1h 30m,Sony Pictures Classics,,,
Hoop Dreams (1994),20.0,98%,Hoop Dreams (1994),60,PG-13,"Drama, Documentary",English,Steve James,"Peter Gilbert, Steve James, Frederick Marx","Steve James, Frederick Marx","Oct 14, 1994 wide","May 10, 2005",$7.8M,2h 54m,"New Line Home Video [us], Fine Line Features",Stereo,,
The Interrupters (2011),21.0,99%,The Interrupters (2011),93,,"Drama, Documentary, Crime",English,Steve James,"Steve James, Alex Kotlowitz",Alex Kotlowitz,"Jul 29, 2011 limited","Feb 14, 2012",$250.5K,2h 5m,Cinema Guild,,,
Afghan Star (2009),22.0,100%,Afghan Star (2009),62,,Documentary,English,Havana Marking,,,"Jun 26, 2009 limited","Mar 30, 2010",$101.5K,1h 28m,Zeitgeist,,,
Capturing the Friedmans (2003),23.0,97%,Capturing the Friedmans (2003),154,,"Biography, Documentary",English,Andrew Jarecki,"Andrew Jarecki, Marc Smerling",,"May 30, 2003 original","Jan 27, 2004",$3.1M,1h 47m,Magnolia Films,,,
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",24.0,100%,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",42,PG-13,Documentary,English,Errol Morris,"Dorothy Aufiero, David Collins, Errol Morris, Kathy Trustman, Michael Williams",,"Jan 14, 2000 wide","Jul 22, 2003",$495.3K,1h 30m,Universal Pictures,Surround,,
The Invisible War (2012),25.0,99%,The Invisible War (2012),72,,"Drama, Documentary, Crime",English,Kirby Dick,"Tanner King Barklow, Amy Ziering","Kirby Dick, Amy Ziering, Douglas Blush","Jun 22, 2012 limited","Nov 20, 2012",$19.6K,1h 35m,Cinedigm,,,
56 Up (2013),26.0,99%,56 Up (2013),69,,Documentary,English (United Kingdom),"Michael Apted, Paul Almond","Michael Apted, Claire Lewis",,"Jan 4, 2013 limited","Jul 2, 2013",$701.3K,2h 23m,First Run,,,
Elaine Stritch: Shoot Me (2014),27.0,99%,Elaine Stritch: Shoot Me (2014),67,,Documentary,English,Chiemi Karasawa,"Chiemi Karasawa, Elizabeth Hemmerdinger",,"Feb 21, 2014 limited","Jun 24, 2014",$303.1K,1h 26m,IFC Films,,,
The Act Of Killing (2013),28.0,95%,The Act Of Killing (2013),160,,"History, Documentary, Drama, War, Crime, Biography",Indonesian,Joshua Oppenheimer,"Anne Köhncke, Signe Byrge Sørensen",,"Jul 19, 2013 limited","Apr 1, 2014",$484.2K,2h 2m,Drafthouse Films,,,
Last Train Home (2010),29.0,100%,Last Train Home (2010),55,,Documentary,Chinese,Lixin Fan,"Mila Aung-Thwin, Daniel Cross",,"Sep 3, 2010 original","Feb 22, 2011",$285.8K,1h 25m,,,,
Spellbound (2002),30.0,97%,Spellbound (2002),139,G,Documentary,English,Jeffrey Blitz,"Jeffrey Blitz, Sean Welch",Jeffrey Blitz,"Apr 30, 2003 original","Jan 20, 2004",$5.7M,1h 37m,ThinkFilm,,,
Enron: The Smartest Guys in the Room (2005),31.0,97%,Enron: The Smartest Guys in the Room (2005),119,R (Some Nudity|Language),Documentary,English,Alex Gibney,"Alex Gibney, Jason Kliot, Susan Motamed",Alex Gibney,"Apr 22, 2005 original","Jan 17, 2006",$4.1M,1h 53m,Magnolia Pictures,,,
Sholem Aleichem: Laughing in the Darkness (2011),32.0,100%,Sholem Aleichem: Laughing in the Darkness (2011),43,,Documentary,English,Joseph Dorman,,Joseph Dorman,"Jul 8, 2011 limited","Apr 9, 2013",$906.7K,1h 33m,International Film Circuit [us],,,
Ai Weiwei: Never Sorry (2012),33.0,98%,Ai Weiwei: Never Sorry (2012),83,R (Some Language),Documentary,English,Alison Klayman,"Adam Schlesinger, Alison Klayman",Alison Klayman,"Jul 27, 2012 limited","Dec 4, 2012",$485.5K,1h 31m,IFC Films,,,
How to Survive a Plague (2012),34.0,98%,How to Survive a Plague (2012),80,,"Drama, History, Documentary, Lgbtq+",English,David France,"David France, Howard Gertler","Tyler H. Walk, David France, Todd Woody Richman","Sep 21, 2012 limited","Feb 26, 2013",$94.0K,1h 50m,IFC Films,,,
This Is Not a Film (2012),35.0,97%,This Is Not a Film (2012),102,,Documentary,Persian,"Jafar Panahi, Mojtaba Mirtahmasb",Jafar Panahi,Jafar Panahi,"Mar 2, 2012 limited","Feb 26, 2013",$75.5K,1h 15m,Palisades Tartan,,,
Cave of Forgotten Dreams (2011),36.0,96%,Cave of Forgotten Dreams (2011),137,G,Documentary,English,Werner Herzog,,Werner Herzog,"Apr 29, 2011 limited","Nov 29, 2011",$5.2M,1h 30m,IFC Films,,,
The King of Kong: A Fistful of Quarters (2007),37.0,97%,The King of Kong: A Fistful of Quarters (2007),102,PG-13 (A Brief Sexual Reference),"Biography, Documentary",English,Seth Gordon,Ed Cunningham,Seth Gordon,"Aug 17, 2007 limited","Jan 29, 2008",$674.9K,1h 19m,Picturehouse,,,
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara (2003),38.0,96%,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara (2003),142,PG-13 (Thematic Issues),Documentary,English,Errol Morris,"Errol Morris, Michael Williams, Julie Ahlberg",,"Dec 26, 2003 wide","May 11, 2004",$4.2M,1h 45m,Sony Pictures Classics,,,
Bowling for Columbine (2002),39.0,95%,Bowling for Columbine (2002),173,R (Some Violent Images|Language),Documentary,English,Michael Moore,"Charles Bishop, Jim Czarnecki, Michael Donovan, Kathleen Glynn, Michael Moore",Michael Moore,"Oct 11, 2002 original","Aug 19, 2003",$21.2M,2h 0m,United Artists,"Surround, Dolby Stereo",,
Muscle Shoals (2013),40.0,97%,Muscle Shoals (2013),87,PG (Smoking|Language|Brief Partial Nudity|Thematic Elements),Documentary,English,"Greg ""Freddy"" Camalier",,,"Sep 27, 2013 limited","Feb 25, 2014",$695.6K,1h 51m,Magnolia Pictures,,,
Love Is Strange (2014),41.0,93%,Love Is Strange (2014),176,R (Language),"Drama, Lgbtq+",English,Ira Sachs,"Lucas Joaquin, Jay Van Hoy, Lars Knudsen, Ira Sachs, Jayne Baron Sherman","Ira Sachs, Mauricio Zacharias","Aug 22, 2014 limited","Jan 13, 2015",$2.3M,1h 34m,Sony Pictures Classics,,,
