,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Life Itself (2014),1.0,98%,Life Itself (2014),203,R (Language|Brief Sexual Images/Nudity),Documentary,English,Steve James,"Zak Piper, Steve James, Garrett Basch",,"Jul 4, 2014 limited","Feb 17, 2015",$809.7K,2h 0m,Magnolia Pictures,,,
Afghan Star (2009),2.0,100%,Afghan Star (2009),62,,Documentary,English,Havana Marking,,,"Jun 26, 2009 limited","Mar 30, 2010",$101.5K,1h 28m,Zeitgeist,,,
A Film Unfinished (2010),3.0,98%,A Film Unfinished (2010),65,,Documentary,German,Yael Hersonski,"Itai Ken-Tor, Noemi Schory",Yael Hersonski,"Aug 18, 2010 original","Mar 8, 2011",$311.5K,1h 29m,Oscilloscope Pictures,,,
Room 237 (2013),4.0,94%,Room 237 (2013),133,,Documentary,English,Rodney Ascher,Tim Kirk,,"Mar 29, 2013 limited","Sep 24, 2013",$259.8K,1h 42m,IFC Films,,,
49 Up (2006),5.0,97%,49 Up (2006),65,,Documentary,,Michael Apted,,,,,,1h 30m,,,,
The Return (2004),6.0,96%,The Return (2004),89,,Drama,Russian,Andrey Zvyagintsev,Dmitri Lesnevsky,"Vladimir Moiseyenko, Aleksandr Novototskiy-Vlasov","Feb 6, 2004 original","Sep 1, 2007",$502.0K,1h 50m,Kino Pictures,,,
Behind the Candelabra (2013),7.0,94%,Behind the Candelabra (2013),108,TVMA (S|L),"Drama, Biography, Lgbtq+, Romance",English,Steven Soderbergh,"Gregory Jacobs, Susan Ekins, Michael Polaire",Richard LaGravenese,,"Sep 17, 2013",,1h 58m,,,,
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation! (2008)",8.0,95%,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation! (2008)",66,R (Sexuality|Graphic Nudity|Drug Use|Some Language|Violence and Gore),Documentary,English,Mark Hartley,,Mark Hartley,"Jul 31, 2009 limited","Oct 6, 2009",$19.4K,1h 43m,Magnolia Pictures,,,
Being Elmo: A Puppeteer's Journey (2011),9.0,95%,Being Elmo: A Puppeteer's Journey (2011),78,PG (Some Mild Language|A Brief Drug Reference),Documentary,English,Constance Marks,"Constance Marks, Corinne LaPook, James J. Miller","Philip Shane, Justin Weinstein","Oct 21, 2011 limited","Apr 3, 2012",$304.1K,1h 25m,Submarine Deluxe,,,
Los Angeles Plays Itself (2003),10.0,96%,Los Angeles Plays Itself (2003),45,,Documentary,English,Thom Andersen,Thom Andersen,,"Jan 1, 2004 wide","Apr 7, 2015",,2h 49m,,,,
Lost in La Mancha (2003),11.0,94%,Lost in La Mancha (2003),101,R (Language),Documentary,English,"Keith Fulton, Louis Pepe",Lucy Darwin,,"Jan 31, 2003 original","Jun 24, 2003",$731.6K,1h 32m,IFC Films,,,
El Camino: A Breaking Bad Movie (2019),12.0,91%,El Camino: A Breaking Bad Movie (2019),129,,"Drama, Crime",English,Vince Gilligan,"Melissa Bernstein, Vince Gilligan, Mark Johnson, Diane Mercer, Charles Newirth",Vince Gilligan,"Oct 11, 2019 limited","Oct 11, 2019",,2h 2m,Netflix,,Scope (2.35:1),
Sing Your Song (2012),13.0,95%,Sing Your Song (2012),40,,"Biography, Documentary, Music",English,Susanne Rostock,"Gina Belafonte, Jim Brown, Michael Cohl, William Eigen, Julius R. Nasso",,"Jan 13, 2012 limited","May 29, 2012",$47.7K,1h 43m,S2BN Films,,,
American Movie (1999),14.0,94%,American Movie (1999),48,R,Documentary,English,Chris Smith,"Sarah Price, Chris Smith",,"Nov 5, 1999 wide","May 23, 2000",$1.2M,1h 47m,"Columbia TriStar Home Video, Sony Pictures Classics",,,
Best Worst Movie (2010),15.0,94%,Best Worst Movie (2010),70,,Documentary,English,Michael Stephenson,"Mary Francis Groom, Brad Klopman",Michael Stephenson,"Apr 23, 2010 limited","Nov 16, 2010",$103.2K,1h 31m,Area23a,,,
The Normal Heart (2014),16.0,94%,The Normal Heart (2014),50,TVMA (L|S),"Drama, Lgbtq+",English,Ryan Murphy,Scott Ferguson,Larry Kramer,,"Aug 26, 2014",,2h 15m,,,,
Side by Side (2012),17.0,93%,Side by Side (2012),68,,Documentary,English,Christopher Kenneally,"Keanu Reeves, Justin Szlasa",Christopher Kenneally,"Aug 17, 2012 limited","Mar 5, 2013",$28.6K,1h 38m,Tribeca Film,,,
Joan Rivers: A Piece Of Work (2010),18.0,92%,Joan Rivers: A Piece Of Work (2010),109,R (Sexual Humor|Language),"Biography, Documentary, Comedy",English,"Ricki Stern, Annie Sundberg","Ricki Stern, Seth Keal, Annie Sundberg",Ricki Stern,"Jun 11, 2010 limited","Dec 14, 2010",$2.9M,1h 24m,IFC Films,,,
"Yoo-hoo, Mrs. Goldberg (2009)",19.0,93%,"Yoo-hoo, Mrs. Goldberg (2009)",68,,Documentary,English,Aviva Kempner,Aviva Kempner,Aviva Kempner,"Jul 10, 2009 limited","Aug 17, 2010",$1.1M,1h 32m,International Film Circuit [us],Dolby,,
The Kid Stays in the Picture (2002),20.0,91%,The Kid Stays in the Picture (2002),113,R (Some Brief Sexual Images|Language|Some Brief Violent Images),Documentary,English,"Nanette Burstein, Brett Morgen","Nanette Burstein, Graydon Carter, Brett Morgen","Robert Evans, Brett Morgen","Jul 26, 2002 original","Aug 10, 2016",$1.4M,1h 33m,USA Films,"Surround, Dolby SR, Dolby Digital, Dolby A, Dolby Stereo",Flat (1.85:1),
F for Fake (1974),21.0,88%,F for Fake (1974),50,PG,Documentary,English,Orson Welles,Dominique Antoine,"Orson Welles, Oja Kodar","Jan 30, 1976 original","Apr 26, 2005",,1h 28m,Criterion Collection,Mono,,
"Electric Boogaloo: The Wild, Untold Story of Cannon Films (2012)",22.0,92%,"Electric Boogaloo: The Wild, Untold Story of Cannon Films (2012)",48,R (Some Drug Use|Language|Graphic Nudity|Strong Sexual Content|Violence Including Rape),Documentary,English,Mark Hartley,"Veronica Fury, Brett Ratner",Mark Hartley,,"Oct 13, 2015",,1h 46m,,,,
Duel (1972),23.0,88%,Duel (1972),43,TVPG (L),Mystery & thriller,English,Steven Spielberg,George Eckstein,Richard Matheson,,"Jul 17, 2001",,1h 35m,,,,
Saraband (2003),24.0,91%,Saraband (2003),85,R (Brief Nudity|Violent Images|Language),Drama,Swedish,Ingmar Bergman,,Ingmar Bergman,"Dec 1, 2003 original","Dec 20, 2005",$645.6K,1h 47m,"Sveriges Television (SVT) [se], Sony Pictures Classics",Stereo,,
Corman's World: Exploits Of A Hollywood Rebel (2011),25.0,92%,Corman's World: Exploits Of A Hollywood Rebel (2011),51,R (Some Violent Images|Nudity|Language),Documentary,English,Alex Stapleton,"Alex Stapleton, Jeffrey Frey, Izabela Frank, Stone Douglass, Mickey Barold","Gregory Locklear, Alex Stapleton","Dec 16, 2011 limited","Mar 27, 2012",$7.0K,1h 35m,Anchor Bay,,,
The Five Obstructions (2003),26.0,89%,The Five Obstructions (2003),62,,Documentary,Danish,"Jørgen Leth, Lars von Trier",,,"Sep 11, 2003 original","Apr 22, 2014",$151.0K,1h 31m,,"Surround, Dolby SR",,
Doctor Zhivago (1965),27.0,84%,Doctor Zhivago (1965),50,PG-13,"Drama, History, War, Romance",English,David Lean,Carlo Ponti,"Boris Pasternak, Robert Bolt","Dec 22, 1965 original","Nov 6, 2001",$87.1K,3h 17m,"Metro-Goldwyn-Mayer, MGM/UA Home Entertainment Inc., Warner Home Vídeo, Metro-Goldwyn-Mayer Distributing Corp.",,,
Tell Them Who You Are (2005),28.0,88%,Tell Them Who You Are (2005),65,R (Language|Some Sexual Images),Documentary,English,Mark Wexler,Mark Wexler,"Mark Wexler, Robert DeMaio","May 13, 2005 original","Oct 18, 2005",$38.6K,1h 33m,ThinkFilm,,,
This Film Is Not Yet Rated (2006),29.0,84%,This Film Is Not Yet Rated (2006),118,,Documentary,English,Kirby Dick,Eddie Schmidt,,"Jan 25, 2006 original","Mar 1, 2007",$302.2K,1h 37m,IFC Films,,,
