,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
The Treasure of the Sierra Madre (1948),1.0,100%,The Treasure of the Sierra Madre (1948),52,,"Drama, Adventure, Western",English,John Huston,Henry Blanke,"B. Traven, John Huston","Jan 6, 1948 original","Sep 30, 2003",,2h 4m,"Warner Bros. Pictures, MGM/UA Home Entertainment Inc.",,,
"The Good, the Bad and the Ugly (1966)",2.0,97%,"The Good, the Bad and the Ugly (1966)",77,R,Western,English,Sergio Leone,Alberto Grimaldi,"Agenore Incrocci, Furio Scarpelli, Luciano Vincenzoni, Sergio Leone","Dec 20, 1967 original","Nov 7, 2006",,2h 41m,"Metro-Goldwyn-Mayer, United Artists",,,
Stagecoach (1939),3.0,100%,Stagecoach (1939),45,,Western,English,John Ford,John Ford,"Ernest Haycox, Dudley Nichols, Ben Hecht","Mar 2, 1939 wide","Sep 3, 2002",,1h 36m,"UCLA Film and Television Archive [us], United Artists, Warner Home Vídeo",,Flat (1.37:1),
High Noon (1952),4.0,95%,High Noon (1952),60,PG (Some Western Violence|Smoking),Western,English,Fred Zinnemann,Stanley Kramer,"John W. Cunningham, Carl Foreman","Jul 24, 1952 original","Oct 22, 2002",,1h 25m,"Criterion Collection, Republic Pictures, United Artists",,,
Unforgiven (1992),5.0,96%,Unforgiven (1992),106,R,Western,English,Clint Eastwood,Clint Eastwood,David Webb Peoples,"Aug 7, 1992 original","Oct 30, 2001",$100.0M,2h 10m,Warner Bros. Pictures,Surround,,
True Grit (2010),6.0,95%,True Grit (2010),275,PG-13 (Int. Seq. of Western Violence|Disturbing Images),"Drama, Western",English,"Joel Coen, Ethan Coen","Scott Rudin, Joel Coen, Ethan Coen","Joel Coen, Ethan Coen","Dec 22, 2010 wide","Jun 7, 2011",$171.0M,1h 50m,Paramount Pictures,"SDDS, Dolby Digital, DTS",,
A Fistful of Dollars (Per un Pugno di Dollari) (1964),7.0,98%,A Fistful of Dollars (Per un Pugno di Dollari) (1964),51,R,Western,Italian,Sergio Leone,"Arrigo Colombo, Giorgio Papi",Adriano Bolzoni,"Jan 18, 1964 wide","Aug 1, 2006",,1h 36m,"Unidis, MGM/UA Home Entertainment Inc., Ízaro Films S.A., Tobis Filmkunst, Metro-Goldwyn-Mayer Distributing Corp., Metro-Goldwyn-Mayer, United Artists",Mono,,
Rio Bravo (1959),8.0,98%,Rio Bravo (1959),43,,Western,English,Howard Hawks,Howard Hawks,"B.H. McCampbell, Jules Furthman, Leigh Brackett","Mar 18, 1959 original","May 22, 2007",,2h 21m,"Warner Bros., Warner Home Vídeo",Mono,"35mm, Flat (1.85:1)",
The Searchers (1956),9.0,96%,The Searchers (1956),50,,Western,English,John Ford,C.V. Whitney,"Alan Le May, Frank S. Nugent","Mar 13, 1956 original","Jun 6, 2006",,1h 59m,"Warner Home Vídeo, Warner Bros.",,,
Once Upon a Time in the West (1968),10.0,95%,Once Upon a Time in the West (1968),65,PG-13,Western,Italian,Sergio Leone,Bino Cicogna,"Dario Argento, Bernardo Bertolucci, Sergio Leone","May 28, 1969 original","Nov 18, 2003",,2h 45m,Paramount Pictures,Mono,"35mm, Scope (2.35:1)",
Deadwood: The Movie (2019),11.0,98%,Deadwood: The Movie (2019),88,TVMA,Western,English,Daniel Minahan,,David Milch,,"Nov 15, 2019",,1h 49m,,,,
Johnny Guitar (1954),12.0,94%,Johnny Guitar (1954),48,,Western,English,Nicholas Ray,Nicholas Ray,"Roy Chanslor, Philip Yordan","May 27, 1954 original","Oct 1, 2015",,1h 50m,Republic Pictures,,,
The Ballad of Buster Scruggs (2018),13.0,89%,The Ballad of Buster Scruggs (2018),234,R (Some Strong Violence),"Drama, Comedy, Western",English,"Joel Coen, Ethan Coen","Joel Coen, Ethan Coen, Megan Ellison, Sue Naegle","Joel Coen, Ethan Coen","Nov 8, 2018 limited","Nov 16, 2018",,2h 12m,Netflix,Dolby Digital,Flat (1.85:1),
The Man Who Shot Liberty Valance (1962),14.0,94%,The Man Who Shot Liberty Valance (1962),48,,Western,English,John Ford,"Willis Goldbeck, John Ford","James Warner Bellah, Willis Goldbeck, Dorothy M. Johnson","Apr 22, 1962 wide","May 19, 2009",,2h 2m,"Paramount Pictures, CIC-Taft Home Video",Mono,Flat (1.37:1),
Sweetgrass (2009),15.0,97%,Sweetgrass (2009),64,,Documentary,English,"Lucien Castaing-Taylor, Illisa Barbash",Ilisa Barbash,,"Jan 6, 2010 limited","Aug 3, 2010",$206.7K,1h 42m,Cinema Guild,,,
The Wild Bunch (1969),16.0,90%,The Wild Bunch (1969),63,R,Western,English,Sam Peckinpah,Phil Feldman,"Walon Green, Roy N. Sickner, Sam Peckinpah","Jun 18, 1969 original","Jan 10, 2006",,2h 22m,Warner Home Vídeo,,,
Django Unchained (2012),17.0,86%,Django Unchained (2012),294,R (Language|A Vicious Fight|Some Nude Images|Strong Graphic Violence),"Drama, Action, Western",English,Quentin Tarantino,"Stacey Sher, Reginald Hudlin, Pilar Savone",Quentin Tarantino,"Dec 25, 2012 wide","Apr 16, 2013",$162.8M,2h 45m,Weinstein Co.,,,
3:10 to Yuma (2007),18.0,89%,3:10 to Yuma (2007),224,R (Violence|Some Language),"Drama, Western",English,James Mangold,Cathy Konrad,"Michael Brandt, Derek Haas, Halsted Welles","Sep 7, 2007 wide","Jan 8, 2008",$53.6M,2h 0m,Lionsgate Films,"Dolby SRD, DTS, SDDS",Scope (2.35:1),
Giant (1956),19.0,91%,Giant (1956),46,G,Drama,English,George Stevens,"Henry Ginsberg, George Stevens","Edna Ferber, Fred Guiol, Ivan Moffat","Nov 24, 1956 wide","Sep 20, 2005",$183.9K,3h 21m,Warner Bros. Pictures,Mono,Scope (2.35:1),
Lone Star (1996),20.0,94%,Lone Star (1996),48,R,Drama,English,John Sayles,Maggie Renzi,John Sayles,"Jun 21, 1996 original","Sep 27, 2005",$13.1M,2h 14m,"Warner Home Vídeo, Columbia TriStar Home Video, Sony Pictures Classics",Surround,,
True Grit (1969),21.0,89%,True Grit (1969),55,G,Western,English,Henry Hathaway,Hal B. Wallis,Marguerite Roberts,"Jun 11, 1969 original","May 14, 2002",,2h 8m,Paramount Pictures,,,
Butch Cassidy and the Sundance Kid (1969),22.0,89%,Butch Cassidy and the Sundance Kid (1969),54,PG,"Action, Western",English,George Roy Hill,John Foreman,William Goldman,"Oct 24, 1969 wide","Jun 6, 2006",,1h 50m,20th Century Fox,Mono,Scope (2.35:1),
Blazing Saddles (1974),23.0,88%,Blazing Saddles (1974),60,R,"Comedy, Western",English,Mel Brooks,Michael Hertzberg,"Andrew Bergman, Andrew Bergman, Mel Brooks, Richard Pryor, Norman Steinberg, Alan Uger","Feb 7, 1974 wide","May 15, 2007",,1h 33m,Warner Bros. Pictures,,Scope (2.35:1),
Bone Tomahawk (2015),24.0,91%,Bone Tomahawk (2015),98,,"Horror, Comedy, Action, Western",English,S. Craig Zahler,"Dallas Sonnier, Jack Heller",S. Craig Zahler,"Oct 23, 2015 limited","Dec 29, 2015",,2h 12m,RLJ Entertainment,,,
The Magnificent Seven (1960),25.0,89%,The Magnificent Seven (1960),44,,Western,English,John Sturges,John Sturges,William Roberts,"Oct 23, 1960 wide","May 8, 2001",,2h 6m,United Artists,,,
